회사명,거래소코드,회계년도,자산(*)(천원),부채(*)(천원),자본(*)(천원),유동자산(*)(천원),유동부채(*)(천원),당좌자산(*)(천원),단기차입금(*)(천원),장기차입금(*)(천원),사채(*)(천원),매출액(영업수익)(*)(천원),당기순이익(순손실)(천원),감가상각비(천원),기타대손상각비(천원),이자비용(천원),이자수익(천원),유동성장기부채(*)(천원),영업활동으로 인한 현금흐름(*)(천원),당기순이익(순손실)(천원),영업이익(손실)(천원),매출원가(*)(천원),투자자산(*)(천원),유형자산(*)(천원),무형자산(*)(천원),이연자산(*)(천원),매출채권(*)(천원),재고자산(*)(천원),법인세비용차감전(계속사업)손익(천원),세금과공과(천원),퇴직급여(천원),임차료(천원),영업외수익(*)(천원),영업외비용(*)(천원)
(주)A.M.C,064118,2011/12,13250271,6734376,6515895,8115329,5523764,7662911,3298096,500000,500000,22095943,2776910,16198,1300,0,23304,0,2590284,2776910,2534484,17781829,4528549,456496,1303,0,4022660,452418,2904489,1094,66651,13040,1011573,641567
(주)A.M.C,064118,2012/12,16129899,7028671,9101228,10202990,5442761,9696157,2298500,1228000,0,22029188,2835423,34561,0,0,80498,499786,3451243,2835423,3198555,16939346,4630293,1147179,843,0,3977666,506833,3326682,6494,129080,10600,680679,552552
(주)A.M.C,064118,2013/12,17709388,5815688,11893700,9018587,3010189,8627090,1550000,2322560,0,22286839,2740090,36233,0,0,113381,166560,1957925,2740090,3491741,16413624,5802410,2547705,383,0,3957316,391497,3299456,5018,132109,36840,845736,1038021
(주)A.M.C,064118,2014/12,21742688,11670728,10071961,6834570,4434169,6290840,3525000,6874000,0,12015322,-1571167,49710,0,0,93297,166560,914504,-1571167,89353,9536606,5658869,9189249,1,0,2510165,543730,-1571167,7093,36515,50410,424952,2085473
(주)A.M.C,064118,2015/12,20428850,12019913,8408937,5563581,4572707,3875390,3405000,6890200,0,10767269,-1997986,220603,0,0,69800,55800,-1507090,-1997986,-888722,9410272,5468828,9376439,1,0,2940143,1688191,-1918918,23948,192068,7493,351075,1381270
(주)A.M.C,064118,2016/12,18465772,12194398,6271373,4310169,5055481,3033523,3009300,6671000,0,10467691,-1980266,216864,0,0,20173,247050,156083,-1980266,-1349020,9818669,4970927,9162923,1,0,2577190,1276646,-2048969,24960,80024,10985,352956,1052906
(주)A.M.C,064118,2017/12,17542643,12257694,5284950,4284271,5403395,2718041,2620900,6344000,0,10576718,-737423,196633,0,0,32227,327000,445831,-737423,80084,9317485,4295602,8941017,1,0,2512659,1566230,-726794,25915,32717,20335,283295,1090173
(주)MS이엔지,042524,2004/12,7096715,6940804,155911,3891734,4443267,2156240,2540000,571000,0,5847844,-1595520,63189,0,0,33658,93000,-689815,-1595520,-1127204,5675293,393062,2681348,49233,0,1563658,1735494,-1595520,55757,79462,0,139522,607838
(주)MS이엔지,042524,2005/12,7876461,7271013,605447,4674710,4912574,2557699,1660000,539000,0,10374317,449536,35072,0,0,9490,32000,1168148,449536,692138,8765183,408786,2598015,43731,0,2063844,2117010,449536,28088,55807,22700,78066,320668
(주)MS이엔지,042524,2006/12,8893074,7985456,907618,5305754,5565877,3137341,1830000,429400,0,12488884,302171,32193,0,0,3346,109600,281268,302171,254779,10997191,453786,2957916,38230,0,2362914,2168413,302171,43499,115106,68074,288767,241375
(주)MS이엔지,042524,2007/12,9185651,8101026,1084625,5598578,5716158,2943590,2200000,335400,0,14744611,177007,34582,0,0,5787,94000,-241045,177007,261518,13211549,550474,3003871,32728,0,2651165,2654988,177007,50483,66684,68069,166452,250963
(주)MS이엔지,042524,2008/12,12997428,7387217,5610211,5052353,4774454,2692888,3000000,445400,0,14634088,210667,23485,0,0,5659,150000,-168665,210667,413102,12824474,421586,7290797,40121,0,1965401,2359466,223087,51221,103541,72588,166414,356428
(주)MS이엔지,042524,2009/12,12854006,6877050,5976956,4897254,4548122,2667830,3000000,295400,0,10986407,366745,21651,0,0,15623,150000,450430,366745,374585,9421872,597786,7117278,33430,0,1973343,2229423,366745,34982,10333,79369,267550,275390
(주)MS이엔지,042524,2010/12,13601700,7406041,6195659,5409736,5053987,3164669,2500000,339400,0,14420843,218703,18109,0,0,8010,210000,251069,218703,304842,12602151,963126,7052880,26300,0,3175246,2245066,218703,38100,56764,26456,128505,214644
(주)MS이엔지,042524,2011/12,11579275,5329469,6249806,3789246,2769302,1460197,1200000,530500,0,10808265,54147,19750,10000,0,21630,251000,959094,54147,171255,9509794,824060,6839009,19390,0,1415980,2329049,54147,42478,43942,0,87358,204465
(주)MS이엔지,042524,2012/12,11273682,4894406,6379277,3422657,2556619,1546781,1000000,308167,0,11407425,129471,21752,0,0,5032,192667,1021509,129471,164202,10092247,928240,6861229,12403,0,1119125,1875875,130183,40509,45806,0,91349,125368
