회사명,거래소코드,회계년도,자산(*)(천원),부채(*)(천원),자본(*)(천원),유동자산(*)(천원),유동부채(*)(천원),당좌자산(*)(천원),단기차입금(*)(천원),장기차입금(*)(천원),사채(*)(천원),매출액(영업수익)(*)(천원),당기순이익(순손실)(천원),감가상각비(천원),기타대손상각비(천원),이자비용(천원),이자수익(천원),유동성장기부채(*)(천원),영업활동으로 인한 현금흐름(*)(천원),당기순이익(순손실)(천원),영업이익(손실)(천원),매출원가(*)(천원),투자자산(*)(천원),유형자산(*)(천원),무형자산(*)(천원),이연자산(*)(천원),매출채권(*)(천원),재고자산(*)(천원),법인세비용차감전(계속사업)손익(천원),세금과공과(천원),퇴직급여(천원),임차료(천원),영업외수익(*)(천원),영업외비용(*)(천원)
(주)EG메탈,058996,2010/12,39790702,11002300,28788402,18476303,1445831,6622252,0,9500000,0,13909453,39593,31196,0,0,64772,0,3212307,39593,312886,12860014,192948,21109028,0,0,602290,11854051,51462,6093,25865,0,155575,417000
(주)EG메탈,058996,2011/12,39932073,14433756,25498317,19817451,14433756,6586586,0,0,0,24177966,-3329837,46333,0,0,105628,9500000,-347714,-3329837,-2997780,26094197,170723,19935594,8304,0,444041,13230865,-3294194,6267,41545,0,214659,511073
(주)EG메탈,058996,2012/12,32438388,11362683,21075706,12911289,1862683,6141404,0,9500000,0,18352461,-7418697,43965,0,0,59900,0,-2523641,-7418697,-7225737,24439228,366938,19153546,6615,0,409695,6769885,-7816616,6931,34720,0,156153,747033
(주)EG메탈,058996,2013/12,31343595,11059217,20284378,13009316,1554217,3646366,0,9500000,0,27359630,-791328,40686,0,0,59085,0,-4059338,-791328,17321,26271878,337967,17991387,4926,0,1926366,9362950,-333323,6638,30651,0,202972,553616
(주)EG메탈,058996,2014/12,31576905,11781546,19795359,14612462,2281546,3428633,300000,9500000,0,40065186,-489019,41045,0,0,31513,0,-264675,-489019,109765,38725131,153671,16806451,4321,0,1830275,11183829,-345436,7784,43916,0,155856,611057
(주)EG메탈,058996,2015/12,25459657,11065052,14394605,9390232,1565052,3411039,300000,9500000,0,33526876,-5400754,40018,0,0,4529,0,-24782,-5400754,-4466209,36677631,507196,15559848,2382,0,2597930,5979193,-5400754,7775,37138,0,241727,1176272
(주)EG메탈,058996,2016/12,26030401,12978822,13051578,11163094,3358822,6186631,1247000,9420000,0,20169066,-1343026,40439,0,0,5177,0,1402527,-1343026,-1089193,20100194,299602,14567121,583,0,1968947,4976464,-1343026,7538,34128,0,214686,468519
(주)EG메탈,058996,2017/12,24547497,13853194,10694303,11273912,4473194,5498515,0,9180000,0,29752865,-2357276,40041,99042,0,7843,120000,1220975,-2357276,-399965,29028937,111298,13159437,2849,0,1129285,5775397,-2357276,6417,37765,0,350865,2308176
(주)JW솔라파크,081903,2016/12,37874408,37397840,476568,1507158,4134312,1507158,0,33263528,0,74174,-1178016,0,0,0,433,1371472,-1447086,-1178016,-554166,240135,0,34478250,0,0,74174,0,-1178016,0,0,381450,3667,627517
(주)JW솔라파크,081903,2017/12,56801563,57207596,-406033,5780765,8397493,5780765,0,48810103,0,4655836,-882601,0,0,0,1470,2455425,899799,-882601,855476,3537207,0,49417348,0,0,331942,0,-882601,108948,0,0,3696,1741773
(주)PSG,040133,2002/12,8461991,7339101,1122889,4157630,6815505,3893899,4528639,376000,0,13611685,151292,435929,0,0,821,0,-1108987,151292,587934,10490658,482655,3704208,0,0,3066454,263731,298879,14591,76830,26238,13195,302249
(주)PSG,040133,2003/12,9148415,7801528,1346887,3857480,6897165,3170138,3981892,673800,0,17359253,223998,637160,0,0,23369,2200,1647894,223998,684068,13509767,1018510,4127760,29167,0,2722588,687343,292196,17619,109516,23500,37236,429108
(주)PSG,040133,2004/12,10515408,8397258,2118150,4709547,7695842,4209999,3699677,567392,0,22384168,771263,707426,0,0,24711,56408,1816032,771263,1241097,17425251,1231508,4384946,34427,0,3648074,499548,902487,14625,102581,62354,80320,418929
(주)PSG,040133,2005/12,13449244,10483136,2966108,7407467,6992099,6579571,3010000,1390096,2000000,25756276,847958,766434,0,0,15788,137296,-761315,847958,1421350,20103118,1477410,4260148,24929,0,4581135,827896,1040054,14628,133611,74751,73788,455084
(주)PSG,040133,2006/12,18776977,15105916,3671061,8150200,12251237,7045766,5180000,1692800,1000000,37475107,704953,831806,0,0,29829,1129796,3577046,704953,1561392,30458872,1163710,9169769,21328,0,5611101,1104434,916658,31575,166551,196539,175015,819749
(주)PSG,040133,2007/12,24565934,19946496,4619439,8227034,13304346,7004737,6266351,6549254,0,45047469,949098,1080440,114,0,41330,1388546,583104,949098,1768042,37425997,1523119,14494784,28196,0,6453934,1222297,1076403,69404,229625,91708,415166,1106805
(주)PSG,040133,2008/12,33552373,23397029,10155344,11760266,17366752,9831636,9912927,5846850,0,59755410,875486,1265554,713,0,49932,702404,1896808,875486,2456857,50803866,2550763,18868441,25126,0,8196437,1928631,1054640,40834,193756,74513,716481,2118697
(주)PSG,040133,2009/12,42119233,28258181,13861052,15252507,21869498,13904255,12051000,6156750,0,56440308,3663355,1411053,628,0,58624,1343100,3319892,3663355,4226860,44912822,6233114,20187742,99136,0,9219265,1348252,4396981,65209,324336,121162,1472823,1302702
(주)PSG,040133,2010/12,43650015,28314945,15335070,13212114,20559566,11424173,12051744,7450200,0,63903111,1499259,1697279,779,0,40673,1955000,2120010,1499259,2496880,53225625,6718379,23367868,74731,0,10145754,1787941,2105320,42569,260962,203984,976111,1367672
(주)PSG,040133,2011/12,48469488,30504655,17964833,16029657,24409082,13965621,14560506,5819322,0,73658670,2763782,1956273,87358,0,49435,2716069,3075042,2763782,4252738,60797163,8078713,24053942,55533,0,12494258,2064036,3434655,58567,289390,285268,1036839,1854923
(주)PSG,040133,2012/12,56966586,33823158,23143428,18256314,29107037,16834404,18855197,3670304,0,75870168,2984858,2206628,369002,0,50468,2377348,3031321,2984858,3376949,63207249,13335723,25014156,44859,0,15634522,1421911,3258679,63175,299141,230128,1911670,2029940
(주)PSG,040133,2013/12,59477919,31121516,28356403,20454589,26466792,19197566,18343000,2850596,0,73825488,5212974,2309466,0,0,35746,1092762,6513091,5212974,4600015,59615245,15668346,23014335,43015,0,14398929,1257023,6021767,58465,376969,110393,2612172,1190420
(주)PSG,040133,2014/12,52640108,18488612,34151496,15106743,17434741,14021740,10000000,0,0,68345750,5795093,2284044,49352,0,36510,675173,8265573,5795093,4578266,54441512,15531832,21644508,45174,0,12088861,1085003,7059326,54546,312125,129996,3313631,832570
(주)PSG,040133,2015/12,50114462,10478093,39636369,14914223,9360287,13741687,3200000,0,0,64715249,5484873,2153409,14648,0,24663,0,3883185,5484873,3378211,52025941,14296202,20577922,33364,0,13274619,1172537,6250781,51322,341379,140262,3206512,333942
(주)PSG,040133,2016/12,58050722,12062695,45988026,19709290,11309936,17656644,4189000,0,0,63250448,6351657,2158267,6554,0,27258,0,6813089,6351657,4052151,49825569,14619625,22519856,847200,0,9992168,2052646,7269389,67551,391262,161605,3412765,195528
(주)PSG,040133,2017/12,58644314,8329598,50314716,21695375,7758663,20476681,0,0,0,63379750,4326952,2441628,0,0,23600,0,5991457,4326952,2088893,51296683,13165953,23307524,57712,0,12288522,1218694,4609825,76748,509464,152977,3830373,1309441
(주)XIOM,069167,2013/12,7669117,2760106,4909011,71137,1274497,71137,1250000,1470000,0,146400,-43112,0,0,0,73026,0,-56477,-43112,-33654,0,1540000,6036159,1196,0,0,0,-41125,28320,15608,0,73029,80500
(주)XIOM,069167,2014/12,24280050,15744291,8535759,10706616,12918483,5510422,4750000,2542668,0,833891,200066,20198,0,0,74381,0,1235821,200066,22063,514957,1930304,11134170,428453,0,4128535,5196194,205119,31670,27111,11156,444597,261540
(주)XIOM,069167,2015/12,35077664,24940949,10136715,14556088,13538500,8020186,8250000,11016699,0,20224691,1900956,224773,0,0,78029,0,-3954642,1900956,2845626,13305247,1371430,18771186,308454,0,5928803,6535903,2357361,43110,195946,179466,491665,979930
(주)XIOM,069167,2016/12,43529636,32244710,11284926,13889090,17116852,7843149,12402696,14739254,0,20356100,1448211,450725,0,0,7179,0,2683715,1448211,2536658,13498280,2104969,27138783,192853,0,5688699,6045941,1777410,40831,210729,211440,177513,936761
(주)XIOM,069167,2017/12,43959249,32378319,11580931,13814536,16917588,8021225,11938702,14900000,0,18820882,546005,828417,0,0,49486,0,1387285,546005,1555597,12743453,2466893,27359208,84164,0,6498607,5793312,635257,71545,161556,263947,309763,1230103
(주)가이아환경,041689,2004/12,8252584,6009383,2243201,2251611,2380770,2242351,1230000,3525000,0,3819014,12405,77467,0,0,5716,75000,796511,12405,313556,2748824,205983,5767656,0,0,908882,9259,12405,58788,36352,44364,105524,406675
(주)가이아환경,041689,2005/12,7671346,6076564,1594783,1710946,2793876,1703787,1400382,3102300,0,4395038,20726,127058,0,0,23362,197700,1209544,20726,73907,3348879,175000,5713110,0,0,1111230,7159,20726,57314,85265,34849,255887,309068
(주)가이아환경,041689,2006/12,6554853,5659548,895305,836034,2798162,820697,1400000,2640800,0,3380118,-699477,81118,0,0,30420,461500,608851,-699477,-464786,2930228,79445,5224204,0,0,412850,15336,-699477,62389,51461,8287,54842,289533
(주)강성수산,012846,2003/12,8826517,7530027,1296490,8601446,7443888,1682625,6348861,0,0,31067162,210293,16642,0,0,51157,0,2278700,210293,708578,28688293,190745,22425,0,0,1073450,6918821,215552,13113,68135,5000,53739,546765
(주)강성수산,012846,2004/12,6847393,5455356,1392036,6731735,5353611,2111228,4630359,0,0,17267286,95546,9663,0,0,7322,0,1617889,95546,487524,15393585,90995,12763,0,0,1729815,4620507,140626,13502,22090,6000,18971,365869
(주)강진항촌태양광,080433,2016/12,9069271,8655587,413684,1367244,1555587,1367244,0,7100000,0,111636,-101731,0,0,0,61,900000,-926966,-101731,-56226,162754,0,7652026,0,0,0,0,-101725,2879,0,0,39712,85211
(주)강진항촌태양광,080433,2017/12,14881760,14174586,707174,1145690,2274586,1145690,0,11900000,0,1855430,293490,0,0,0,34914,1300000,1573270,293490,1058562,784818,137433,13548638,0,0,239279,0,307004,4637,0,0,35181,786739
(주)거금솔라파크,070563,2013/12,68414823,63744979,4669843,8616844,3744979,8616844,233636,60000000,0,4422602,716055,0,0,0,766,0,-781201,716055,1811994,967328,0,59791649,0,0,2147366,0,767614,13242,11750,0,785,1045166
(주)거금솔라파크,070563,2014/12,66785019,60553899,6231120,9969379,5986362,9969379,0,54545455,0,9604049,1561276,109,0,0,133323,5454545,7007823,1561276,4413683,3488375,0,56789535,0,0,100000,0,1747656,136133,16833,5000,153981,2820009
(주)거금솔라파크,070563,2015/12,63944623,55218847,8725776,10110363,6074763,10110363,0,49104000,0,9569193,2494657,656,0,0,159992,5448000,5342026,2494657,5371720,3730973,0,53808155,0,0,363512,0,2808049,9553,15000,6200,160045,2723716
(주)거금솔라파크,070563,2016/12,58586297,49616001,8970295,7768735,5904901,7768735,0,43656000,0,7417419,244519,656,0,0,177136,5448000,2985058,244519,2662274,4345196,0,50795787,0,0,360596,0,269348,7775,15250,6600,177769,2570696
(주)거금솔라파크,070563,2017/12,56777834,46325709,10452125,8975530,8042784,8975530,0,38208000,0,8381679,1481830,656,0,0,143311,6810000,4866923,1481830,4043389,3961941,0,47780529,0,0,875470,0,1658740,8403,16750,6600,144024,2528673
