회사명,거래소코드,회계년도,자산(*)(천원),부채(*)(천원),자본(*)(천원),유동자산(*)(천원),유동부채(*)(천원),당좌자산(*)(천원),단기차입금(*)(천원),장기차입금(*)(천원),사채(*)(천원),매출액(영업수익)(*)(천원),당기순이익(순손실)(천원),감가상각비(천원),기타대손상각비(천원),이자비용(천원),이자수익(천원),유동성장기부채(*)(천원),영업활동으로 인한 현금흐름(*)(천원),당기순이익(순손실)(천원),영업이익(손실)(천원),매출원가(*)(천원),투자자산(*)(천원),유형자산(*)(천원),무형자산(*)(천원),이연자산(*)(천원),매출채권(*)(천원),재고자산(*)(천원),법인세비용차감전(계속사업)손익(천원),세금과공과(천원),퇴직급여(천원),임차료(천원),영업외수익(*)(천원),영업외비용(*)(천원)
(주)SRC,080886,2016/12,15734805,11863531,3871274,6354848,2285793,3629293,0,7061000,1200000,22060182,438683,102259,0,0,9418,156000,329379,438683,374200,14671889,111732,8994966,9477,0,3519620,2725555,507118,138458,443912,117901,488340,355423
(주)SRC,080886,2017/12,18319621,10893845,7425776,5482509,4007056,3936799,1700000,4445000,1200000,23869081,382340,148167,0,0,7158,206000,1642322,382340,667958,16028259,144502,12431914,5914,0,3548191,1545710,488619,152006,268665,108030,169299,348638
(주)TS센트릭,020607,2001/12,27907296,23699468,4207829,9095745,16587306,6550920,7590663,6446129,0,35152337,-4592,30282,0,0,417259,5344668,1256776,-4592,2157908,31791742,353469,17733707,542212,0,3394539,2544825,-187109,9019,55472,45925,506042,2851058
(주)강남산업,012833,2001/12,17976910,13170026,4806883,4442086,8070550,3104289,2347055,4854805,0,19801748,795398,0,0,0,45848,240000,26102,795398,1674495,16850203,116000,12213030,0,0,2711526,1337797,804488,45231,138905,7600,287037,1157045
(주)강남산업,012833,2002/12,20276356,14669232,5607124,5706829,11258218,3621999,7943428,3136307,0,26163626,800241,13615,0,0,22600,800000,-252665,800241,1900562,22930585,8000,13116855,0,0,2795584,2084830,849885,101217,9850,14285,173519,1224196
(주)강남산업,012833,2003/12,22413880,20152115,2261765,7271043,13996212,5533671,8703494,5915766,0,26720112,-3345359,13598,0,0,25303,0,-372443,-3345359,-2372758,24112095,8000,13450248,28992,0,3197348,1737372,-3345359,75682,159388,18511,216120,1188721
(주)강원심층수,047909,2007/12,20886470,442288,20444182,15855586,427255,15855586,0,0,0,0,218840,19136,0,0,767695,0,-139423,218840,-510035,0,0,4976676,2159,0,0,0,285256,15536,21416,28190,798268,2977
(주)강원심층수,047909,2008/12,29881750,2721851,27159899,1238750,2721851,1238750,1000000,0,0,0,-8595,23365,0,0,558000,0,8626,-8595,-760630,0,0,28549461,4951,0,0,0,-77191,5067,53347,40273,683451,12
(주)강원심층수,047909,2009/12,39513293,15043995,24469298,658209,15043995,226966,14610000,0,0,409868,-2690600,18886,0,0,5266,0,-2364531,-2690600,-2273425,923993,0,38640989,50642,0,51508,431243,-2694199,2747,39352,138963,14646,435420
(주)강원심층수,047909,2010/12,37444455,14558094,22886361,1294230,14558094,1096800,14000000,0,0,1187077,-4966617,146020,0,0,15797,0,-1895413,-4966617,-4018845,2675870,0,35334478,682317,0,185270,197430,-4962951,2222,70006,271574,28315,972421
(주)강원심층수,047909,2011/12,35929660,14581681,21347979,1915288,1181681,1541632,0,13400000,0,2961883,-3876824,149287,0,0,19349,600000,-1737261,-3876824,-3137978,3233766,0,33329645,511856,0,323794,373657,-3876824,6000,61036,136172,23903,762749
(주)강원심층수,047909,2012/12,32680763,15488234,17192529,867891,3060234,480107,1210000,12400000,0,3389613,-4155450,151404,0,0,10606,1000000,-1453393,-4155450,-3411109,3563261,0,31240371,407849,0,380840,387784,-4155450,6600,68018,144355,19298,763640
(주)강원심층수,047909,2013/12,31817659,19014400,12803259,1079868,18935400,734673,5600000,0,0,4724836,-4389270,155312,0,0,191,12400000,-1960779,-4389270,-3548161,4129117,0,30215381,287341,0,561386,345194,-4389270,6700,68379,147929,9084,850193
(주)강원심층수,047909,2014/12,29789065,21404426,8384640,1292566,21321426,822473,20400000,0,0,6283483,-4418619,153519,0,0,269,0,-1885267,-4418619,-3357016,4664152,0,27857585,95033,0,601178,470093,-4418619,6815,96959,149094,13118,1074720
(주)강원심층수,047909,2015/12,28229727,23596227,4633500,1981635,23490727,1560011,22150000,0,0,6847437,-3751139,15673,0,0,216,0,-1186355,-3751139,-2808159,4900484,0,26053610,72119,0,891400,421624,-3751139,8499,93868,139828,17540,960520
(주)강원심층수,047909,2016/12,25655211,24138789,1516422,1320458,15503290,990344,13000000,8200000,0,7521735,-3117078,14263,0,0,1569,1200000,-259285,-3117078,-2299726,5255248,0,23966146,140828,0,822964,330115,-3117078,177,71679,113019,17742,835094
(주)강원심층수,047909,2017/12,24751005,24275767,475238,1272103,16932075,855523,14310000,7000000,0,9309927,-1041184,12476,0,0,469,1200000,1342956,-1041184,-263383,6038194,0,23226992,101610,0,782601,416580,-1041184,0,49002,42716,6089,783891
(주)강원엘피씨,019670,2001/12,14328224,10183204,4145020,389709,1562204,371639,1033187,8311000,0,108003,52217,153,0,0,7549,0,759098,52217,-259938,129278,0,13141915,610936,0,106786,18070,52217,763,0,0,337702,25547
(주)강원엘피씨,019670,2002/12,14797714,10514017,4283698,1351997,2151017,839547,1863870,8311000,0,4126585,138246,26468,0,0,19015,0,-231680,138246,377500,3248224,40000,12782409,552099,0,651595,512450,138246,20205,22000,605,46027,285281
(주)강원엘피씨,019670,2003/12,15361898,11364107,3997792,2764545,2911021,2051543,2650000,8391000,0,4894469,135412,21618,0,0,43521,0,620089,135412,491214,3824408,10000,12218755,97390,0,459224,713002,135412,64990,28597,841,46755,402557
(주)강원엘피씨,019670,2004/12,16499958,12498429,4001529,3266115,3114812,2581615,2499000,9241000,0,4790473,3737,58798,0,0,81280,0,1176799,3737,360367,3772945,10000,13088373,63999,0,709797,684500,3737,54498,12143,7241,94389,451019
(주)강원엘피씨,019670,2005/12,17204347,13447966,3756381,3846649,4979326,3815174,3362681,8410000,0,6067060,-245148,25793,0,0,91737,831000,722866,-245148,-87239,4821591,240000,13020585,0,0,1445648,31475,-245148,35273,1653,17178,302628,460536
