회사명,거래소코드,회계년도,자산(*)(천원),부채(*)(천원),자본(*)(천원),유동자산(*)(천원),유동부채(*)(천원),당좌자산(*)(천원),단기차입금(*)(천원),장기차입금(*)(천원),사채(*)(천원),매출액(영업수익)(*)(천원),당기순이익(순손실)(천원),감가상각비(천원),기타대손상각비(천원),이자비용(천원),이자수익(천원),유동성장기부채(*)(천원),영업활동으로 인한 현금흐름(*)(천원),당기순이익(순손실)(천원),영업이익(손실)(천원),매출원가(*)(천원),투자자산(*)(천원),유형자산(*)(천원),무형자산(*)(천원),이연자산(*)(천원),매출채권(*)(천원),재고자산(*)(천원),법인세비용차감전(계속사업)손익(천원),세금과공과(천원),퇴직급여(천원),임차료(천원),영업외수익(*)(천원),영업외비용(*)(천원)
(주)TAPEX,010942,2001/12,22046349,16974227,5072121,7581614,9374543,5506202,3300000,4062100,3000000,23282768,505186,98430,0,0,187663,1587800,185643,505186,1026628,21715084,1282378,13182096,0,0,2796735,2075413,589436,5223,28277,0,584052,1021244
(주)TAPEX,010942,2002/12,22772814,17536227,5236587,8031557,11627791,6204402,5100000,2500000,3000000,25145061,329466,29058,0,0,171706,1082800,168277,329466,928462,23716068,1564813,13136184,0,0,5479366,1827155,446177,6976,48669,0,459659,941944
(주)TAPEX,010942,2003/12,25522761,17473379,8049381,10977891,17274371,7460096,7800000,0,0,34339861,2587583,29058,0,0,149534,2996656,3606039,2587583,3631333,29034196,1588578,12655210,270000,0,4617699,3517796,3129764,8790,33747,0,589887,1091456
(주)TAPEX,010942,2004/12,30658438,19519169,11139269,13110306,15990928,9325267,10068796,2896250,0,42006645,3439888,28572,0,0,349161,253750,3438125,3439888,4394839,33998856,1182446,16070149,212160,0,5889016,3785038,3944451,7848,127173,0,738005,1188393
(주)TAPEX,010942,2005/12,37878697,23685486,14193212,14347095,17737172,10133190,10067597,5111250,0,44566019,3101809,64118,0,0,236453,285000,5973044,3101809,3697447,36787501,3441685,19835361,163919,0,6362950,4213905,3510806,16979,137320,0,755445,942085
(주)TAPEX,010942,2006/12,41249264,25090936,16158328,16168925,17677534,11015648,10095188,6644000,0,50836498,2165347,85881,0,0,112533,511250,3776129,2165347,3398888,42694353,5242343,19481718,111665,0,6882450,5153277,2609098,15405,118611,0,783407,1573197
(주)TAPEX,010942,2007/12,41689892,22435517,19254374,15205312,15862741,11102164,10064510,6244000,0,45808923,2424663,100875,0,0,173836,400000,2920664,2424663,2013919,39302096,8810461,17402986,50408,0,7285166,4103147,2552796,29143,290074,2964,1760628,1221751
(주)TAPEX,010942,2008/12,43360903,23962856,19398048,14489925,15582456,10642136,7558982,8380400,0,44739238,2410149,94772,0,0,212431,1383600,5881372,2410149,3191625,36815237,4880229,23675411,22946,0,6677134,3847789,2914498,76842,365582,0,2234979,2512105
(주)TAPEX,010942,2009/12,55869156,31526015,24343141,18583679,23304353,15454227,9462939,8216432,0,62487154,4832784,112760,0,0,244659,2088508,10405555,4832784,5622149,50081253,2817395,33325259,20760,0,10691403,3129453,5546201,105060,418858,0,2186145,2262093
(주)TAPEX,010942,2010/12,56515931,24818318,31697612,22346128,18265864,16896873,3000000,6427454,0,78801619,8983591,397527,0,0,166853,3088978,8791592,8983591,10095864,59660668,62970,33556229,12386,0,11322590,5449255,11041144,132480,206910,0,2064550,1119271
(주)TAPEX,010942,2011/12,64505171,21516613,42988557,28360365,16863227,20581590,2000000,4503386,0,96467425,11290945,386325,0,0,214563,2388478,12603985,11290945,12240201,73275247,25798,35374214,10471,0,11617054,7778775,13034685,168042,333374,13682,1500254,705770
(주)TAPEX,010942,2012/12,82951023,26125508,56825516,37610082,24008600,27036213,3200000,1954908,0,102079664,13576958,302084,0,0,395816,2548478,17011262,13576958,13322780,77742576,279829,44277265,1992,0,12276952,10573869,15735782,227241,359540,18650,3167317,754315
(주)TAPEX,010942,2013/12,79411065,15979118,63431947,36941710,15171288,26745552,0,610200,0,101308460,6466431,261262,0,0,273915,704708,10078234,6466431,8438547,80140535,189391,41588704,1599,0,14730052,10196158,8462194,295586,273752,20639,1036071,1012424
(주)TAPEX,010942,2014/12,119746521,26105379,93641142,54308155,18599679,43569564,191600,418600,0,111872821,12903210,330887,0,0,398970,0,16436335,12903210,14520034,82550071,7380801,57399090,52765,0,18749951,10738592,16075045,325344,369539,37187,2432207,877196
(주)TAPEX,010942,2015/12,112148610,53550624,58597986,46910313,17077221,37185860,128800,30289800,0,113563929,9819859,346296,0,0,307198,0,13154062,9819859,11343793,87857938,7261808,57244874,52082,0,19071933,9724453,11408520,390370,444762,34807,2661027,2596300
(주)TAPEX,010942,2016/12,95741578,86543043,9198535,31097085,19569459,20780750,48401,61161000,0,112013881,8775369,338216,0,0,163650,128800,15418883,8775369,11925685,85851537,7235149,56163587,480595,0,17438067,10316335,11510966,358835,561147,82980,2164231,2578950
(주)TSR,019379,2001/12,24510057,10231173,14278884,17972709,9781895,16355542,7968826,333154,0,13493695,143600,76281,3618,0,739911,8552,-2781530,143600,992730,10772246,1720221,4550371,0,0,1606604,1617167,834902,164317,60955,82038,2440848,2598676
(주)TSR,019379,2002/12,22710569,10885662,11824907,5144167,5908927,3718572,3624067,4342602,0,14280975,-2453976,120605,0,0,116522,10299,2048821,-2453976,396041,12055389,4710570,12775037,0,0,2173401,1425594,-2332546,24346,85551,36229,252038,2980625
(주)TSR,019379,2003/12,27606451,15132920,12473531,10242940,9274551,8040214,4803561,5616658,0,17966979,648624,93747,0,0,84267,233925,2642206,648624,1919133,14732457,4507359,11755544,779305,0,2942878,2202726,849738,51200,34592,16450,441167,1510562
(주)TSR,019379,2004/12,26419901,12798668,13621233,7706728,8145165,5005541,3110382,4266091,0,22959334,623975,46288,0,0,103256,1048355,-16664,623975,306355,20868875,4999865,11768387,1051453,0,3870999,2701187,829567,3637,44264,32750,1298319,775108
(주)TSR,019379,2005/12,27142863,13133226,14009636,10206240,10407606,7639703,4285610,2457977,0,24397398,503403,57088,0,0,30027,1528205,1562199,503403,310539,21268670,3334980,11336619,1331994,0,4051384,2566537,555805,41432,140882,36000,819308,574041
(주)TSR,019379,2006/12,28473992,14180879,14293113,10340526,11670602,7167546,7099057,2162516,0,22355823,283476,63743,0,0,11672,1038425,-189541,283476,657757,19675935,3312980,11649846,1714985,0,3472524,3172980,378666,12147,57932,36400,749374,1028465
(주)TSR,019379,2007/12,32438527,18584402,13854125,12544314,15375907,8885653,10603946,2700602,0,23761422,-438988,22609,0,0,14245,582477,-66780,-438988,-44097,21407280,3559934,12640520,2083466,0,4798496,3658661,-432988,12384,49719,36000,733540,1122431
(주)TSR,019379,2008/12,27991023,18342088,9648935,10094048,14493872,6932261,11004346,3227115,0,21808145,-4205190,17501,0,0,41896,1184069,-301712,-4205190,58328,19813619,2299289,12644665,1941665,0,3526147,3161787,-4205190,11805,50126,38800,775123,5038641
(주)TSR,019379,2009/12,31452183,21181321,10270862,15119021,17983970,11847627,11845997,2428117,0,24883889,1070955,17516,0,0,49722,998998,2170865,1070955,2317942,20257022,2559232,11608923,1725725,0,7129874,3271393,1070955,10854,218747,14000,724410,1971397
(주)TSR,019379,2010/12,33900450,21497736,12402714,18384192,18826479,14738431,10545071,1976897,0,36456693,2131851,11509,0,0,120026,1051220,5394336,2131851,2918397,29689162,1715835,11664324,1774135,0,8434051,3645761,2189925,8629,299467,4080,1041453,1769925
(주)TSR,019379,2011/12,35253373,20994181,14259192,19495831,18284980,17120485,7477172,873386,0,48111899,2776479,124122,0,0,117258,1103511,6398609,2776479,3765087,39073954,1928760,11265193,1695652,0,12192607,2375346,3558876,6759,387884,17280,1456231,1662442
(주)TSR,019379,2012/12,35513395,21099723,14413672,18200402,17385357,15347811,6977191,861178,0,52166253,2086480,63840,0,0,102112,762209,6982844,2086480,3756151,43154665,2522813,12083648,1919428,0,9696557,2852591,2851905,7855,728237,4080,1657114,2561360
(주)TSR,019379,2013/12,35057151,17222480,17834671,19850499,13197814,16471290,2487416,707510,0,54929931,3420999,36209,0,0,82630,874542,4564943,3420999,4089638,45856709,2464250,11236583,1009590,0,10985473,3379209,3922597,2210,484989,8981,1183912,1350953
(주)TSR,019379,2014/12,38398978,23581587,14817390,21658583,19592919,17733215,7392536,660585,0,59351140,3841342,8576,0,0,84212,726924,6127901,3841342,3792893,50616055,3523732,12072971,642956,0,11720764,3925369,4664872,12681,568369,6120,1936648,1064669
(주)TSR,019379,2015/12,42339119,25179802,17159318,25362091,20875275,20972046,7742850,575343,0,63835317,4899467,8575,0,0,61218,185400,4286672,4899467,6038764,52332080,3137574,12483908,419810,0,15965546,4390045,5872979,12646,547728,16000,871130,1036916
