회사명,거래소코드,회계년도,자산(*)(천원),부채(*)(천원),자본(*)(천원),유동자산(*)(천원),유동부채(*)(천원),당좌자산(*)(천원),단기차입금(*)(천원),장기차입금(*)(천원),사채(*)(천원),매출액(영업수익)(*)(천원),당기순이익(순손실)(천원),감가상각비(천원),기타대손상각비(천원),이자비용(천원),이자수익(천원),유동성장기부채(*)(천원),영업활동으로 인한 현금흐름(*)(천원),당기순이익(순손실)(천원),영업이익(손실)(천원),매출원가(*)(천원),투자자산(*)(천원),유형자산(*)(천원),무형자산(*)(천원),이연자산(*)(천원),매출채권(*)(천원),재고자산(*)(천원),법인세비용차감전(계속사업)손익(천원),세금과공과(천원),퇴직급여(천원),임차료(천원),영업외수익(*)(천원),영업외비용(*)(천원)
(유)에스아이지,058564,2010/12,118847156,959031,117888125,23379642,901638,23379642,0,0,0,27782392,25385353,0,0,0,907294,0,12838808,25385353,24532329,2834317,95467513,0,0,0,923648,0,25554737,8318,34649,0,1179153,156746
(유)에스아이지,058564,2011/12,147457412,2215681,145241731,23610038,2153650,23593328,0,0,0,31518265,23191210,0,0,0,985079,0,6992681,23191210,21885520,8865349,123847374,0,0,0,8007699,16710,24004779,11988,59069,0,2512078,392819
(유)에스아이지,058564,2012/12,148558744,1334317,147224427,23163043,1284284,23163043,0,0,0,12003938,7107075,0,0,0,862007,0,8769088,7107075,6745840,4737308,125395701,0,0,0,0,0,7264222,12447,24322,0,1543352,1024971
(유)에스아이지,058564,2013/12,154751632,109545,154642087,21567170,45307,21567170,0,0,0,6353185,5743897,0,0,0,985584,0,9962315,5743897,3598871,0,133184462,0,0,0,0,0,6335203,13863,40316,0,2954999,218668
(유)에스아이지,058564,2014/12,159742321,672306,159070015,36036467,612458,36036467,0,0,0,5701972,1898347,7975,0,0,975743,0,20152255,1898347,3352541,0,123673545,32309,0,0,0,0,4370145,12773,40649,0,2664890,1647287
(유)에스아이지,058564,2015/12,156240644,2210364,154030280,17151666,2189841,17151666,0,0,0,2000183,-1195944,8057,0,0,1109188,0,11554216,-1195944,-447455,0,139064726,24252,0,0,7735,0,926856,14027,15469,0,1614777,240466
(주)3Z,012815,2001/12,9664522,7240688,2423834,4060731,6103361,1256958,4446983,362809,0,7214756,52821,56858,0,0,44242,341500,53664,52821,290011,5502157,736924,3887966,495968,0,938630,2803773,62949,10130,39250,0,131881,358944
(주)3Z,012815,2002/12,11973434,9482018,2491416,5706131,6752440,1885611,5574024,170000,1421859,8160127,67582,76046,0,0,62822,191800,-741999,67582,505663,6334074,946553,4013874,966649,0,1332001,3820520,70396,21564,29601,0,116234,551501
(주)3Z,012815,2003/12,12733248,10191860,2541388,6829370,6909671,1832125,5377300,771884,1400000,8478321,49972,59891,0,0,26587,563722,377056,49972,817778,6312920,69430,4294336,1240147,0,992705,4997245,82260,9442,22470,0,124428,859946
(주)3Z,012815,2004/12,18878736,15998251,2880484,8058219,8553580,2113133,6373926,4675302,1400000,12036474,140117,53481,0,0,39968,656553,434924,140117,662672,9813160,151380,8875661,1538950,0,879693,5945087,140117,30794,54770,0,338507,861062
