회사명,거래소코드,회계년도,자산(*)(천원),부채(*)(천원),자본(*)(천원),유동자산(*)(천원),유동부채(*)(천원),당좌자산(*)(천원),단기차입금(*)(천원),장기차입금(*)(천원),사채(*)(천원),매출액(영업수익)(*)(천원),당기순이익(순손실)(천원),감가상각비(천원),기타대손상각비(천원),이자비용(천원),이자수익(천원),유동성장기부채(*)(천원),영업활동으로 인한 현금흐름(*)(천원),당기순이익(순손실)(천원),영업이익(손실)(천원),매출원가(*)(천원),투자자산(*)(천원),유형자산(*)(천원),무형자산(*)(천원),이연자산(*)(천원),매출채권(*)(천원),재고자산(*)(천원),법인세비용차감전(계속사업)손익(천원),세금과공과(천원),퇴직급여(천원),임차료(천원),영업외수익(*)(천원),영업외비용(*)(천원)
(유)한국비엠에스제약,018712,2001/12,37447817,38959160,-1511343,34729177,37089010,28954212,14488935,10000,0,63773194,1164932,807698,0,0,7652,60000,2259150,1164932,-7754016,45709500,219354,1502861,0,0,23074040,5774965,3079351,132043,543790,1188322,13888457,3055091
(유)한국비엠에스제약,018712,2002/12,50320664,45565970,4754694,47331954,44498025,43479668,9000000,0,0,88062340,6266036,746120,0,0,25084,10000,7636848,6266036,-6245708,62404892,214859,1439176,0,0,39035574,3852286,10195925,112280,1371360,1138621,18288705,1847072
(주)E&T,058267,2010/12,34606723,13087229,21519493,21287899,13087229,3270008,6159384,0,0,69718417,-4976916,200453,0,0,844,0,-4930578,-4976916,-4909424,69481786,6725669,5822300,770856,0,37110,18017891,-4976916,88907,159630,492889,9990,77483
(주)E&T,058267,2011/12,72776231,49750238,23025993,36750379,29391572,15889553,23968500,20300000,0,144187698,1448871,574210,43598,0,85513,0,-5017832,1448871,2093393,130734198,24702631,5777084,646763,0,223071,20860826,1448871,203822,322780,1612956,188644,833166
(주)E&T,058267,2012/12,53063891,28328627,24735264,42348423,28269961,20373485,22146340,0,0,160758318,1709271,397006,0,0,165485,0,-1657948,1709271,3039551,146453758,403000,5456891,434983,0,2033833,21974937,1925963,209445,330563,1525071,250063,1363651
(주)E&T,058267,2013/12,55579900,34556090,21023810,43605749,34497424,25391190,29889225,0,0,145674036,-3711455,264655,0,0,742332,0,-2026340,-3711455,-3660720,134914142,436000,5713890,971517,0,197939,18214559,-3711455,234678,318071,1341102,823253,873988
(주)E&T,058267,2014/12,59112567,36976480,22136087,43952908,30937480,22950843,25682500,6000000,0,103155220,1112277,449488,0,0,331612,0,1797896,1112277,1712502,84208021,948000,6357699,1431250,0,1097962,21002065,1448928,260217,381683,1699788,843742,1107316
(주)E&T,058267,2015/12,54203293,31707406,22495887,38666813,25666406,15536632,23125000,6000000,0,95079176,359800,758008,0,0,234608,0,624702,359800,523722,81749876,1115000,6514155,1203017,0,135133,23130181,469767,236860,295365,1469851,942424,996379
(주)E&T,058267,2016/12,49025693,31247532,17778161,33748747,25219532,11142619,19948500,6000000,0,99425879,-4717726,718767,0,0,190005,0,1177275,-4717726,-4453216,91977809,1238000,6157552,912050,0,1590446,22606129,-4717726,168738,255416,1456555,603393,867903
(주)E&T,058267,2017/12,48819477,29265253,19554224,35266576,23238453,13718454,19250678,6000000,0,120367621,1776063,545060,0,0,187149,0,160839,1776063,2374173,103431287,983000,5890503,513517,0,450970,21548122,1845828,214533,325763,1831940,440490,968834
(주)JTC,079976,2017/02,250424942,129205415,121219526,172237151,75996958,111603959,15079638,40293512,4016000,533088081,14915295,2573274,0,0,50108,0,43538509,14060992,32460792,145370813,17244766,41576357,581767,0,17471874,60633193,26290323,1188402,579467,11585027,1664773,7835241
(주)LF네트웍스,040278,2002/12,9681825,3875626,5806200,8950562,3742439,8597467,93700,0,0,39776154,2228068,67516,0,0,34617,0,0,0,3239719,34641036,462596,143021,0,0,4187995,353095,3226027,76528,46312,28247,80740,94432
(주)LF네트웍스,040278,2003/12,12616179,4971473,7644706,11927973,4478253,11280838,0,0,0,36039036,1838506,40325,0,0,39332,0,1266841,1838506,2668799,30487704,444707,107853,0,0,1703147,647136,2744934,114768,387407,30990,354997,278862
(주)LF네트웍스,040278,2004/12,12924157,4032224,8891934,12133413,3447444,10646443,0,0,0,40569500,2172228,49949,0,0,45124,0,-820215,2172228,1507274,35835310,476320,130778,0,0,2402712,1486970,2902498,373904,167032,35890,1487096,91873
(주)LF네트웍스,040278,2005/12,24358803,7049821,17308982,23093478,6402140,21272134,0,0,0,44953908,8417048,60711,0,0,29428,0,669752,8417048,3210270,39717112,617134,142516,0,0,3737451,1821344,11909906,143077,174900,38890,9079038,379402
(주)LF네트웍스,040278,2006/12,29134925,6957939,22176986,24514053,4777695,22234559,0,0,0,45734069,4868003,53226,0,0,764542,0,-1595093,4868003,4953554,36511653,779111,3002092,0,0,3222069,2279494,5642439,96548,1659256,32830,856117,167232
(주)LF네트웍스,040278,2007/12,21082456,4131782,16950674,14184457,2547071,10856861,0,0,0,39926746,-952922,130811,0,0,236551,0,428153,-952922,-1546631,36211892,742160,4399883,0,0,1388308,3327595,-1404857,150773,456193,78127,338540,196766
(주)LF네트웍스,040278,2008/12,23153244,4869232,18284012,14458934,2195656,10907343,0,0,0,53713781,1375057,137717,0,0,366371,0,1087860,1375057,2228610,46922149,1321839,5362535,0,0,3257982,3551591,1713445,91527,314326,73790,547800,1062965
(주)LF네트웍스,040278,2009/12,90353295,36777621,53575674,26973106,9918647,22517886,1562000,23370000,0,73332921,374060,226982,0,0,44070,0,494847,374060,1834228,65857615,2024780,67828675,-9588060,0,7220503,4455221,719687,103237,478541,346813,510715,1625255
(주)LF네트웍스,040278,2010/12,99600107,26803188,72796919,10978021,2604372,8685793,0,23370000,0,31781772,12667571,323079,0,0,242745,0,4631190,12667571,2728579,23624769,31910217,65015085,-9316816,0,324655,2292228,13121339,68584,437286,848798,12112434,1719674
(주)LF네트웍스,040278,2011/12,120715605,33389904,87325701,17946820,32422430,11607954,0,0,0,27771071,5176992,632799,0,0,311949,23370000,5239555,5176992,2550311,15495720,35116044,66291714,30348,0,1453389,6338865,6317613,12800,154141,1659141,5972906,2205603
(주)LF네트웍스,040278,2012/12,145005419,63414637,81590782,17405564,33458204,10038091,23370000,18209000,0,37054326,1635163,845951,0,0,98625,0,-1401562,1635163,2447329,20509212,38833920,87181345,39119,0,1010903,7367472,2061115,36989,364798,2195253,3441561,3827775
(주)LF네트웍스,040278,2013/12,178192898,88302340,89890558,41740639,27158449,28437013,0,47000000,0,78539344,8236341,620119,0,0,239291,5000000,16844489,8236341,10002901,51123481,19227702,114729696,69762,0,5290530,13303626,8070288,132319,445470,2937461,4491114,6423728
(주)LF네트웍스,040278,2014/12,190161109,93902914,96258195,33783731,37275402,12584514,718047,42000000,0,82968372,6366648,553749,0,0,126364,10000000,2221985,6366648,9052870,55711394,23102961,130915008,50215,0,7263250,21199216,9929117,256390,415374,3025641,4512014,3635767
(주)LF네트웍스,040278,2015/12,243038253,137715198,105323055,37217367,54559050,11787298,7448000,66531000,0,85485735,9062822,620168,0,0,18854,5000000,5220563,9062822,8888550,57222666,28239507,175607696,32574,0,4328507,25430069,11608404,109809,895927,3288204,5735708,3015855
(주)LF네트웍스,040278,2016/12,313616612,201716959,111899653,46460963,113863426,19645220,16291000,69532000,0,88134928,6572772,365320,0,0,23312,42000000,-8671560,6572772,6623646,61737240,33498695,231579845,30013,0,9588407,26815743,8406677,103212,621850,3321129,5494014,3710983
(주)LF네트웍스,040278,2017/12,348532530,227199968,121332562,47623157,124542814,20935554,22666666,83318000,0,119002839,3836851,219443,0,0,28028,52500000,7254564,3836851,6887399,90172135,35170131,263625808,22248,0,14744342,26687603,3417556,56327,711901,3167505,2153603,5623446
(주)가나아트갤러리,017417,2001/12,9217027,5549233,3667795,2696888,4995874,675648,4279025,0,0,8245237,435056,216918,0,0,1601,0,804251,435056,582064,4994592,224814,6286363,0,0,213846,2021240,435056,91251,225513,63895,9516,156524
(주)가나아트갤러리,017417,2002/12,12392634,8693924,3698710,4988679,8289171,695387,7552313,0,0,8718061,30915,183930,0,0,18413,0,-2028415,30915,202712,5503967,331795,6162888,0,0,265555,4293292,30915,112323,86536,106950,29574,201370
(주)가나아트갤러리,017417,2003/12,12490963,8761244,3729719,5247097,8292189,745414,7235016,0,0,10402531,31009,184712,0,0,2879,0,242868,31009,48840,6651852,303122,6031472,0,0,367920,4501684,31009,121930,78304,143513,173117,190947
(주)가나아트갤러리,017417,2004/12,16096163,12158545,3937618,8316779,11623106,930511,9799780,0,0,16308162,207899,164856,0,0,1498,0,-1896763,207899,97110,12252779,413885,6456227,0,0,243747,7386267,207899,135847,137037,143920,243782,132993
(주)가나아트갤러리,017417,2005/12,20438277,16080270,4358008,12431098,14935148,989540,13394402,0,0,20266432,420390,188916,0,0,1302,0,-3370534,420390,747444,15154959,693329,6394450,0,0,461478,11441558,612257,150152,248872,66205,20412,155598
(주)가나아트갤러리,017417,2006/12,19628419,15437038,4191381,11683701,14227629,2969552,7855641,0,0,30266349,689524,196510,0,0,3032,0,6549611,689524,1177390,22896062,401154,6332117,0,0,1544164,8714149,1043442,184628,376914,98303,47924,181872
(주)가나아트갤러리,017417,2007/12,39048936,30101788,8947148,26738163,27327076,4421509,10531187,0,0,62326478,4755767,190286,0,0,2058,0,132488,4755767,7484904,45447086,7691,11068287,0,0,1832384,22316654,6703133,395455,245791,251780,235154,1016925
(주)가나아트갤러리,017417,2008/12,43517517,32074989,11442529,27959428,25131620,4154402,10167953,2700000,0,32303936,2495380,225348,385300,0,21702,700000,-756672,2495380,4746056,19371888,7508,14619027,0,0,1691367,23805027,3624388,284087,206612,209704,193040,1314708
(주)가나아트갤러리,017417,2009/12,44766883,33633572,11133310,27594561,26561869,4116257,12051177,2383320,0,24401963,-309218,346242,47062,0,26890,776680,134692,-309218,192460,17519209,7051,16209903,0,0,1195134,23478304,-309218,277456,205724,114600,395059,896737
(주)가나아트갤러리,017417,2010/12,48712167,36564830,12147337,30884965,32145972,4412817,12844177,1468324,0,34304032,1014027,426808,12566,0,452,2114996,-375836,1014027,182970,27251238,6387,16834889,0,0,1580668,26472149,1280152,277724,201216,95682,2087269,990087
