회사명,거래소코드,회계년도,자산(*)(천원),부채(*)(천원),자본(*)(천원),유동자산(*)(천원),유동부채(*)(천원),당좌자산(*)(천원),단기차입금(*)(천원),장기차입금(*)(천원),사채(*)(천원),매출액(영업수익)(*)(천원),당기순이익(순손실)(천원),감가상각비(천원),기타대손상각비(천원),이자비용(천원),이자수익(천원),유동성장기부채(*)(천원),영업활동으로 인한 현금흐름(*)(천원),당기순이익(순손실)(천원),영업이익(손실)(천원),매출원가(*)(천원),투자자산(*)(천원),유형자산(*)(천원),무형자산(*)(천원),이연자산(*)(천원),매출채권(*)(천원),재고자산(*)(천원),법인세비용차감전(계속사업)손익(천원),세금과공과(천원),퇴직급여(천원),임차료(천원),영업외수익(*)(천원),영업외비용(*)(천원)
(유)비티투자,054082,2007/12,17600565,17789721,-189156,17569413,17719721,1295301,17088721,0,0,7120,-489156,1510,0,0,50,0,-16964900,-489156,-366247,0,0,10852,0,0,7832,16274111,-489156,5273,0,6000,50,122958
(유)비티투자,054082,2008/12,16535079,18346548,-1811469,14320695,17858483,3170746,15428721,0,0,14619925,-1629489,42530,0,0,41905,0,6719933,-1629489,1778578,8851559,1846413,189802,18000,0,1113769,11149949,-1619800,232818,15045,48334,96484,3494863
(유)비티투자,054082,2009/12,12892594,16527791,-3635198,10543636,16076706,2776743,14828721,0,0,7074449,-1813537,201355,561825,0,74862,0,1253417,-1813537,404992,4303316,1635572,372305,46683,0,1451200,7766893,-1810531,126159,14396,265373,115738,2331262
(유)비티투자,054082,2010/12,16387225,16050091,337134,13381206,15663869,7020507,13886000,0,0,4078670,2076399,170824,241851,0,94045,0,1360084,2076399,528253,1685682,2576424,276649,10000,0,1869570,6360699,2237962,77700,12673,310012,3156919,1447210
(유)비티투자,054082,2011/12,9680749,14281384,-4600635,8588381,13511204,846527,12772489,0,0,1421954,-3044851,125462,0,0,39338,0,-3841934,-3044851,-250189,177628,787188,157687,6000,0,590072,7741854,-3044851,108761,3958,171482,2018511,4813174
(유)비티투자,054082,2012/12,9631181,15773821,-6142640,8375564,14993821,636705,13772489,0,0,1210369,-1132550,75618,84752,0,21665,0,-313618,-1132550,23390,145120,1158763,86453,0,0,757085,7738860,-1132550,80631,9962,156753,89750,1245690
(유)비티투자,054082,2013/12,7228493,16188599,-8960106,6250091,15151814,190438,14244407,0,0,1106485,-2868840,56945,0,0,11650,0,-958000,-2868840,8392,201820,857891,115050,0,0,734556,6059653,-2868840,68356,4262,76569,19695,2896928
(유)비티투자,054082,2014/12,7537248,17101405,-9564158,6280223,1238395,227945,0,14826226,0,1464315,-664746,91215,0,0,1257,0,-479326,-664746,-105105,505212,1119385,137180,0,0,714037,6052278,-664746,88356,5847,81887,231902,791543
(유)비티투자,054082,2015/12,6539549,14781690,-8242141,6284945,1015963,235262,0,12856226,0,1660289,853104,71457,488,0,832,0,-786442,853104,25063,512666,182928,71216,0,0,697098,6049683,853104,79783,25486,74592,1536811,708771
(유)유맥에프앤알,014534,2001/12,15504707,13197343,2307365,1592137,9886302,574797,7077787,3023969,0,36052420,582888,711989,0,0,8815,47644,1349840,582888,339796,30119034,4500,12725231,895,0,325269,1017340,724026,138290,112153,7193,830545,446315
(유)유맥에프앤알,014534,2002/12,14058037,11230524,2827513,1438283,10350775,412014,7750370,430156,0,40853971,520148,626020,0,0,4993,95615,798800,520148,400956,34626225,90969,11435059,773,0,193578,1026269,686178,180251,199766,34607,856427,571204
(유)유맥에프앤알,014534,2003/12,17914451,14623947,3290504,2501041,12401621,1343655,9428240,1333280,0,30721008,458300,535797,0,0,4466,166720,1101682,458300,514021,25007471,174322,14127705,348,0,244817,1157386,587977,167446,166775,30240,563871,489914
(유)유맥에프앤알,014534,2004/12,16652938,12625966,4026972,1547899,10821431,528879,7940441,999960,0,32734521,736468,477412,0,0,9583,333320,1362410,736468,1091901,26590712,172494,13833202,0,0,250454,1019021,992724,187310,213855,30610,818863,918040
(유)유맥에프앤알,014534,2005/12,23789533,18972741,4816792,2381667,16765023,705881,13271587,666640,0,33937662,789821,490132,0,0,7709,333320,1232780,789821,923582,27061019,127355,20179588,0,0,265426,1675786,1087939,216169,152091,26704,772512,608155
