회사명,거래소코드,회계년도,자산(*)(천원),부채(*)(천원),자본(*)(천원),유동자산(*)(천원),유동부채(*)(천원),당좌자산(*)(천원),단기차입금(*)(천원),장기차입금(*)(천원),사채(*)(천원),매출액(영업수익)(*)(천원),당기순이익(순손실)(천원),감가상각비(천원),기타대손상각비(천원),이자비용(천원),이자수익(천원),유동성장기부채(*)(천원),영업활동으로 인한 현금흐름(*)(천원),당기순이익(순손실)(천원),영업이익(손실)(천원),매출원가(*)(천원),투자자산(*)(천원),유형자산(*)(천원),무형자산(*)(천원),이연자산(*)(천원),매출채권(*)(천원),재고자산(*)(천원),법인세비용차감전(계속사업)손익(천원),세금과공과(천원),퇴직급여(천원),임차료(천원),영업외수익(*)(천원),영업외비용(*)(천원)
(주)가오닉스스포츠,039478,2002/12,70033998,71896411,-1862413,11812517,34469271,11745113,31510000,150000,0,2945099,-3304120,46957,0,0,288803,0,-142954,-3304120,-1765796,3473065,0,58116364,95417,0,47770,67404,-3304120,183192,0,0,492024,2030348
(주)가오닉스스포츠,039478,2003/12,64723875,71616613,-6892737,3799538,12607735,3733179,11100000,19487000,0,3765408,-5030324,231922,198917,0,633825,0,-1275321,-5030324,-1400552,2751409,2945726,57896395,72517,0,67204,66359,-5030324,240980,92076,0,877993,4507765
(주)가오닉스스포츠,039478,2004/12,63999091,74166748,-10167657,4413508,13202686,4413508,11000000,17160000,0,4044581,-3274919,148961,0,0,251934,0,642530,-3274919,-823942,3111846,2699226,56827040,49617,0,156304,0,-3274919,231400,13686,0,322917,2773894
(주)가오닉스스포츠,039478,2005/12,57813135,83036066,-25222931,3067893,39338206,3067893,6050000,8000000,0,4343610,-15055274,146085,13769183,0,290593,30507816,-14983099,-15055274,-1665207,3306284,1011051,53683724,26717,0,341755,0,-15055274,277725,0,0,4944802,18334869
(주)가오닉스스포츠,039478,2006/12,57007670,87200757,-30193087,4223823,17136393,4223823,6660000,24190000,0,4872814,-4970156,148264,989750,0,236732,7740506,266679,-4970156,-689085,3705844,65253,52690877,3817,0,346079,0,-4970156,11133,0,0,395420,4676491
(주)가오닉스스포츠,039478,2007/12,56548392,89936033,-33387641,4230130,17057657,4230130,14365506,24190000,0,5274786,-3194553,54516,0,0,297790,0,-267573,-3194553,-4413,3692203,65253,51939882,0,0,369855,0,-3194553,7309,0,0,324590,3514730
(주)가오닉스스포츠,039478,2008/12,52100772,94493814,-42393042,565339,49451154,565339,33248800,7300000,0,5370013,-9005402,42887,4180938,0,239738,0,-1637006,-9005402,13305,3835531,0,51236355,0,0,403335,0,-9005402,22387,0,0,239777,9258483
(주)강변스포렉스,021688,2001/12,34149854,38911907,-4762053,8664003,29857584,8613060,400000,8765913,0,3175354,181213,708975,0,0,729700,0,1977491,181213,-182307,0,1504347,16900974,0,0,31469,50943,181213,61792,77819,16519,944450,580929
(주)강변스포렉스,021688,2002/12,41795590,47332766,-5537176,16369761,30045809,16023503,0,16979635,0,2749344,-512589,927123,0,0,581739,0,-616172,-512589,-1162486,0,1203490,16122639,0,0,32191,346258,-512589,78350,33097,22564,1707474,1057578
(주)강변스포렉스,021688,2003/12,43408439,47668776,-4260337,15183714,39757572,14813206,0,7322341,0,2818789,1276839,915847,0,0,594329,9000000,432964,1276839,-1393687,0,1203490,18299777,0,0,31789,370509,1276839,81021,87848,11594,4451233,1780707
(주)강변스포렉스,021688,2004/12,36521529,52338987,-15817458,18484159,45414704,18379796,10050000,6364814,0,3306466,-2583896,1498940,2639148,0,657409,59400,3794403,-2583896,-1401367,0,2500,16002782,0,0,17864,104363,-2583896,104317,40842,19041,2514198,3696727
(주)강변스포렉스,021688,2005/12,39347109,62472311,-23125202,19155279,55698846,19155279,13000000,6124177,0,2490688,-7307745,1789679,5025826,0,1916737,59400,5378046,-7307745,-3182801,0,2500,16844461,0,0,16402,0,-7307745,131370,69993,30601,2313149,6438093
(주)강변스포렉스,021688,2006/12,38487230,68132881,-29645650,18961089,67376248,18961089,26030000,103950,0,2372550,-6520448,2025492,3098405,0,1250106,59400,-991774,-6520448,-2442823,0,2500,15317737,0,0,12685,0,-6520448,104289,47651,31548,1412596,5490220
(주)강진베이스볼파크,063861,2011/12,7096484,7352414,-255930,437342,1591684,437342,291836,5460730,0,865400,-352928,0,0,0,10,0,326911,-352928,-114443,0,0,6649142,0,0,0,0,-352928,12776,1000,227060,10596,249081
(주)강진베이스볼파크,063861,2012/12,4439340,7044714,-2605374,91524,3464770,91524,2041620,3208527,0,2656559,-427023,551765,0,0,30,232978,229758,-427023,-265318,0,0,4347816,0,0,0,0,-427023,16109,21417,334587,88996,250702
(주)강촌레일파크,066189,2012/12,14727118,12816230,1910888,2223229,297239,2223229,0,12000000,0,1056104,-938882,57986,0,0,32549,0,-1087608,-938882,-734803,16442,25000,12388889,0,0,22673,0,-938882,2511,24358,292409,46089,250168
(주)강촌레일파크,066189,2013/12,15229478,13775716,1453762,2229322,2845716,2229322,0,10400000,0,4368150,-457126,11532,0,0,27998,1100000,2388185,-457126,149009,3448021,25000,12856156,29000,0,43711,0,-457126,3414,28253,2049,88754,694889
(주)강촌레일파크,066189,2014/12,13529145,12083779,1445366,1551409,2250779,1547947,0,9483000,0,5535517,-8396,7491,0,0,20751,917000,682978,-8396,466183,4208393,25000,11779736,23000,0,32739,3462,-8396,5921,27723,41171,114769,589348
(주)강촌레일파크,066189,2015/12,13972592,9966692,4005900,1748615,1962692,1748615,0,7624000,0,5616075,60534,42468,0,0,9026,1859000,187393,60534,549073,3936449,235000,11881976,17000,0,53624,0,60534,15721,34502,1440,100377,588916
