회사명,거래소코드,회계년도,자산(*)(천원),부채(*)(천원),자본(*)(천원),유동자산(*)(천원),유동부채(*)(천원),당좌자산(*)(천원),단기차입금(*)(천원),장기차입금(*)(천원),사채(*)(천원),매출액(영업수익)(*)(천원),당기순이익(순손실)(천원),감가상각비(천원),기타대손상각비(천원),이자비용(천원),이자수익(천원),유동성장기부채(*)(천원),영업활동으로 인한 현금흐름(*)(천원),당기순이익(순손실)(천원),영업이익(손실)(천원),매출원가(*)(천원),투자자산(*)(천원),유형자산(*)(천원),무형자산(*)(천원),이연자산(*)(천원),매출채권(*)(천원),재고자산(*)(천원),법인세비용차감전(계속사업)손익(천원),세금과공과(천원),퇴직급여(천원),임차료(천원),영업외수익(*)(천원),영업외비용(*)(천원)
(유)판토스홀딩스,078315,2015/12,21105123,1016162,20088961,21105123,1016162,21105123,1000000,0,0,0,-46039,0,0,0,976,0,-31696,-46039,-47014,0,0,0,0,0,0,0,-46039,29160,0,0,976,2
(유)판토스홀딩스,078315,2016/12,63891193,42498228,21392965,3390386,13610580,3390386,13000000,28800000,0,3071645,1379802,863,0,0,235651,0,277811,1379802,1949206,0,60389249,2678,0,0,0,0,1410843,5111,23352,81985,235665,774027
(재)미래인력연구원,054023,2007/12,13431666,2275223,11156443,1554843,9180,1394733,0,0,0,16153,0,0,0,0,1234266,0,0,0,-1231685,32623,11754737,95223,0,0,0,160110,0,5,0,37,1234568,2883
(재)미래인력연구원,054023,2008/12,7872673,1942910,5929763,2857588,213759,2703191,0,0,0,62248,-1263289,0,0,0,1104868,0,-1176835,-1263289,33120,28430,4866954,131268,0,0,0,154397,-1263289,4,5,27,1106406,2402815
(재)미래인력연구원,054023,2011/12,9081757,968389,8113368,571347,75505,450706,0,0,0,1394,0,24657,0,0,174962,0,151089,0,-166616,0,8356442,122105,0,0,0,120641,0,156,0,2454,248180,81565
(주)DNSC,063900,2011/12,15367342,9017889,6349453,7305519,6817055,5775890,4325940,2200000,0,34904562,1571348,50148,2083,0,166069,0,4289186,1571348,3824075,23136339,4264802,3371408,108875,0,2887343,1529628,2156334,62881,151234,198196,253988,1921728
(주)DNSC,063900,2012/12,17928027,11894755,6033272,6950934,9672755,4832868,7475759,2200000,0,34123705,183818,63002,-2083,0,116277,0,-1662706,183818,1863465,25929652,6495686,3622287,77431,0,4086672,2118066,375723,96211,109927,190529,131355,1619097
(주)DNSC,063900,2013/12,20593862,15611565,4982297,9404132,14761565,8446381,10649837,0,0,30796530,-1020975,125577,0,0,91742,2200000,-608786,-1020975,106666,25032375,6689995,3835955,45727,0,5193319,957750,-995739,51572,130085,176274,118916,1221321
(주)DNSC,063900,2014/12,15327765,4939156,10388609,6215944,4089156,5932691,2700000,0,0,28427655,8006313,187239,35000,0,342562,0,12287839,8006313,10441452,8246898,4767887,3720479,18536,0,648096,283253,10075617,58045,1870733,205894,359635,725470
(주)DNSC,063900,2015/12,17298309,6278083,11020226,4228549,4426719,3383534,3700000,1000000,0,8604667,631617,106167,234932,0,64741,0,-1981591,631617,-208163,4569604,8890616,3618580,2644,0,480389,845015,1018541,50740,105246,213611,2063325,836621
(주)DNSC,063900,2016/12,20437812,7190112,13247700,11117125,7190112,7067835,3041365,0,0,35948730,2227474,103765,0,0,232533,0,-896620,2227474,2432507,21030331,5151622,3656165,18,0,2834335,4049290,2882109,44710,172005,189176,570529,120926
(주)DNSC,063900,2017/12,28206380,15353650,12852730,15603488,14714779,12604703,9704424,638871,0,53993944,-394970,62809,0,0,333308,0,-967936,-394970,-355925,33623584,8185078,4045365,11,0,5419576,2998785,-394970,48100,1313382,117921,647600,686646
(주)GST투자개발,086402,2017/12,9140544,7978816,1161728,3535038,2978816,3535038,0,5000000,0,8525774,951728,0,0,0,958,0,1086276,951728,1972920,5901793,0,5605506,0,0,222505,0,1195606,6128,0,18000,1076,778390
(주)LGEI,030602,2002/12,3693921000,368543000,3325378000,253775000,179525000,253775000,0,0,185583000,4697828000,315811000,0,3405000,0,19209000,0,294137000,315811000,361267000,3522558000,3197226000,48386000,415000,0,0,0,406024000,0,0,0,389841000,345084000
(주)LG경영개발원,018261,2001/03,49632939,43593369,6039571,8736715,4701310,8652849,0,0,0,36307372,25884,1087754,0,0,521807,0,2406035,25884,-269188,0,167698,2744620,0,0,2842146,83866,253452,343120,1875653,7318389,547872,25232
(주)LG경영개발원,018261,2002/03,48678571,42604749,6073822,8714125,3084108,8673529,0,0,0,36056261,34252,1231049,0,0,385168,0,1297899,34252,-3257,0,53937,2349161,0,0,1909501,40596,388307,380053,1368844,5776838,401421,9857
(주)LG경영개발원,018261,2003/03,49598548,43509680,6088867,8888503,3605294,8888503,0,0,0,40092003,15045,1313345,0,0,369364,0,1265219,15045,-79418,0,31417,2973089,0,0,2665515,0,264687,367758,1535203,7372277,473118,129013
(주)LG경영개발원,018261,2004/03,50551961,44184820,6367141,10440151,4400506,10440151,0,0,0,41974442,278274,1302352,0,0,376145,0,2431328,278274,104380,0,12450,2292973,0,0,2654927,0,462323,362674,1456733,8271012,402133,44190
(주)LG경영개발원,018261,2005/12,54913323,46312026,8601297,13522399,6218043,13522399,0,0,0,48706509,1741450,1590255,0,0,357786,0,2820907,1741450,2121383,0,3648,3984752,0,0,2714314,0,2512823,439916,2209158,6852561,406669,15229
(주)LG경영개발원,018261,2006/12,56978810,46482625,10496185,19167813,6408456,19167813,0,0,0,49087550,1894888,1793855,0,0,592641,0,3096504,1894888,2104706,0,2000,3863387,0,0,3466810,0,2700331,423424,1826964,7384727,604713,9087
(주)LG경영개발원,018261,2007/12,60142159,46240971,13901188,22775769,7193534,22775769,0,0,0,48873338,3405003,1831278,0,0,873275,0,5265155,3405003,3705453,0,1000,3364483,0,0,2869053,0,4840625,430070,1439524,7799749,1141254,6082
(주)LG경영개발원,018261,2008/12,67329814,50144836,17184978,28928479,8996376,28928479,0,0,0,57537314,3283790,1782960,0,0,1248103,0,6631944,3283790,3386879,0,6288,3541176,0,0,4875346,0,4826531,487079,2434852,8032803,1530931,91279
