회사명,거래소코드,회계년도,자산(*)(천원),부채(*)(천원),자본(*)(천원),유동자산(*)(천원),유동부채(*)(천원),당좌자산(*)(천원),단기차입금(*)(천원),장기차입금(*)(천원),사채(*)(천원),매출액(영업수익)(*)(천원),당기순이익(순손실)(천원),감가상각비(천원),기타대손상각비(천원),이자비용(천원),이자수익(천원),유동성장기부채(*)(천원),영업활동으로 인한 현금흐름(*)(천원),당기순이익(순손실)(천원),영업이익(손실)(천원),매출원가(*)(천원),투자자산(*)(천원),유형자산(*)(천원),무형자산(*)(천원),이연자산(*)(천원),매출채권(*)(천원),재고자산(*)(천원),법인세비용차감전(계속사업)손익(천원),세금과공과(천원),퇴직급여(천원),임차료(천원),영업외수익(*)(천원),영업외비용(*)(천원)
(주)SH로지스틱스&테크놀로지,063199,2011/12,8372160,8026513,345647,5723068,4246819,5723068,304606,1740000,1000000,28930253,-451993,197484,0,0,47618,160000,-203916,-451993,-228141,23857655,588696,1645765,14418,0,3540077,0,-431467,114011,266158,701022,96598,299925
(주)SH로지스틱스&테크놀로지,063199,2012/12,7788570,7018138,770432,4691119,5279068,4691119,482952,1195000,0,27125869,79632,175010,0,0,71223,1545000,-387311,79632,260093,22565253,1257667,1538484,9612,0,3224486,0,109764,104817,84023,460933,117828,268157
(주)SH로지스틱스&테크놀로지,063199,2013/12,9687573,8149810,1537763,5565295,6294261,5565295,653735,1045000,0,29294407,352733,40972,0,0,54886,1400000,65442,352733,484589,27454690,2052527,1679179,4806,0,4862837,0,363129,27232,154130,52117,121709,243169
(주)SH로지스틱스&테크놀로지,063199,2014/12,9361916,7647383,1714534,4897191,6678813,4897191,620298,196000,0,31472333,238232,21540,69076,0,115333,2000000,921598,238232,461079,29474106,2345115,1641489,16133,0,4059058,0,309317,47793,99434,60695,139743,291505
(주)SH로지스틱스&테크놀로지,063199,2015/12,9787267,7866667,1920599,5256169,6164000,5256169,2015795,680850,0,30825437,206066,17100,0,0,81239,44100,254569,206066,325669,28622532,2392648,1609945,12613,0,4353970,0,337236,40558,163753,77345,216987,205420
(주)가나마린,061723,2010/12,15684633,15115544,569089,2428880,3773177,2162483,0,4257547,0,5887617,23454,3229,0,0,561,1344294,1457813,23454,306874,4716468,174000,11815853,0,0,0,266397,24419,2304,55062,43229,16848,299303
(주)가나마린,061723,2011/12,14005785,13377327,628457,1438339,3305156,1410923,0,3950053,0,9372313,59369,904,0,0,372,1399370,1715448,59369,435350,8039829,432605,10843931,0,0,0,27416,72016,144,52579,43229,168098,531433
(주)가나마린,061723,2012/12,11782252,11230953,551299,46611,3228793,46611,0,3347188,0,8910321,-77158,904,0,0,204,1339492,806640,-77158,-465717,8418181,440682,10094469,0,0,0,0,-77158,154,66616,43229,759914,371354
(주)가나마린,061723,2013/12,13066591,12485375,581216,2328902,7279913,2328902,1979004,1606201,0,3723121,29917,310,0,0,127,1360600,738090,29917,7459,2702300,440682,9113898,0,0,0,0,201245,276,56599,44511,477613,283826
(주)가나마린,061723,2014/12,5018262,5295395,-277133,4466941,5171929,3013323,0,0,0,10722474,-840349,1859,0,0,530,0,-1009668,-840349,45759,9684057,520682,7126,0,0,0,1453618,-832680,1176,59368,53277,879218,1757656
(주)가이아로지스,071083,2013/12,10155969,9763377,392592,18850,9763377,18850,7670000,0,0,0,-93214,0,0,0,4,0,-77658,-93214,-93119,0,0,10137119,0,0,0,0,-93214,0,0,0,13,108
