회사명,거래소코드,회계년도,자산(*)(천원),부채(*)(천원),자본(*)(천원),유동자산(*)(천원),유동부채(*)(천원),당좌자산(*)(천원),단기차입금(*)(천원),장기차입금(*)(천원),사채(*)(천원),매출액(영업수익)(*)(천원),당기순이익(순손실)(천원),감가상각비(천원),기타대손상각비(천원),이자비용(천원),이자수익(천원),유동성장기부채(*)(천원),영업활동으로 인한 현금흐름(*)(천원),당기순이익(순손실)(천원),영업이익(손실)(천원),매출원가(*)(천원),투자자산(*)(천원),유형자산(*)(천원),무형자산(*)(천원),이연자산(*)(천원),매출채권(*)(천원),재고자산(*)(천원),법인세비용차감전(계속사업)손익(천원),세금과공과(천원),퇴직급여(천원),임차료(천원),영업외수익(*)(천원),영업외비용(*)(천원)
(유)랍코리아,038598,2002/09,7620921,7619790,1131,3764285,3828931,2128261,500000,3764423,0,2819854,-998919,76202,0,0,20886,115265,-1251667,-998919,-770856,2284059,2563,3779521,22756,0,1807247,1636024,-998919,31295,4761,68082,143051,371114
(유)랍코리아,038598,2003/09,10406716,8888002,1518714,6781513,3667031,2848712,762504,5154944,0,11653324,522003,106442,0,0,1084,666845,-3260637,522003,1210824,7849095,6973,3529315,18120,0,2887960,3932801,522003,58697,105551,111090,252376,941197
(유)랍코리아,038598,2004/09,11387622,9868420,1519202,7942928,5118779,3503411,601327,4601420,0,15964047,488,114441,0,0,167,715525,1108421,488,1276807,11039840,17985,3353330,13603,0,3480497,4439517,39217,14189,132511,142029,178707,1416297
(유)랍코리아,038598,2005/09,10735641,8859722,1875919,7246468,4746325,3880627,0,3999304,0,17100920,356717,141511,0,0,102,745413,1369250,356717,476978,12618968,30143,3061687,65980,0,3628594,3365841,411065,18060,104120,163818,820465,886378
(유)랍코리아,038598,2006/09,14026655,9827717,4198938,9816212,6979450,4997440,1188328,2807208,0,20275196,50989,127417,0,0,859,411714,246561,50989,349618,15862820,44568,3777101,70848,0,4373450,4818772,157383,20334,174843,245531,674008,866243
(유)랍코리아,038598,2007/09,13135680,8278997,4856684,9013740,5950605,4765618,1100000,563571,1710000,25143031,657746,106172,0,0,163,469809,664387,657746,1487996,18824544,80993,3594392,74489,0,4347668,4248122,857788,19543,142540,232647,87731,717938
(유)랍코리아,038598,2008/09,19942908,15059637,4883272,14940414,12814542,9547105,3500000,848346,1330000,31106569,576588,93562,0,0,594,708821,249160,576588,2119314,23858593,117418,4604939,57105,0,8005042,5393309,541632,18684,158972,267599,442209,2019891
(유)랍코리아,038598,2009/09,20203618,11679373,8524245,14845981,10138647,9036170,0,526290,950000,33726782,1113524,91890,0,0,9295,713102,2798625,1113524,1710440,26243717,79843,4838317,211320,0,7153785,5809812,1441352,28428,165402,294716,766958,1036046
(유)랍코리아,038598,2010/09,31221462,19055863,12165599,25023999,17975616,16063430,1500000,396599,570000,66700082,4141353,71813,0,0,653,454551,4561006,4141353,5971095,54194814,4483,5911105,35136,0,10884065,8960568,5166678,35322,191335,223739,1241452,2045869
(유)포리코리아,038721,2002/12,7930963,7245819,685144,5332938,5994629,2204838,2229677,1215444,0,5469650,377282,15910,0,0,8262,0,-360661,377282,626490,3773466,10670,2566629,1476,0,1546656,3128100,496906,7231,19058,4310,24908,154492
