회사명,거래소코드,회계년도,[제조]   이자비용
(주)DH케미칼,040581,2004/12,1322
(주)DH케미칼,040581,2005/12,227
(주)DH케미칼,040581,2006/12,0
(주)DH케미칼,040581,2007/12,0
(주)DH케미칼,040581,2008/12,0
(주)DH케미칼,040581,2009/12,0
(주)DH케미칼,040581,2010/12,2005
(주)DH케미칼,040581,2011/12,6824
(주)DH케미칼,040581,2012/12,9789
(주)DH케미칼,040581,2013/12,2658
(주)DH케미칼,040581,2014/12,0
(주)DH케미칼,040581,2015/12,0
(주)DH케미칼,040581,2016/12,0
(주)DH케미칼,040581,2017/12,0
(주)LG생명과학,030592,2016/12,10000575
(주)TAPEX,010942,2001/12,1015697
(주)TAPEX,010942,2002/12,910022
(주)TAPEX,010942,2003/12,852253
(주)TAPEX,010942,2004/12,717288
(주)TAPEX,010942,2005/12,642100
(주)TAPEX,010942,2006/12,886614
(주)TAPEX,010942,2007/12,964278
(주)TAPEX,010942,2008/12,989938
(주)TAPEX,010942,2009/12,790230
(주)TAPEX,010942,2010/12,742712
(주)TAPEX,010942,2011/12,391613
(주)TAPEX,010942,2012/12,277749
(주)TAPEX,010942,2013/12,132668
(주)TAPEX,010942,2014/12,22833
(주)TAPEX,010942,2015/12,683975
(주)TAPEX,010942,2016/12,1442754
(주)TSR,019379,2001/12,292245
(주)TSR,019379,2002/12,442116
(주)TSR,019379,2003/12,355578
(주)TSR,019379,2004/12,409830
(주)TSR,019379,2005/12,406646
(주)TSR,019379,2006/12,509682
(주)TSR,019379,2007/12,778507
(주)TSR,019379,2008/12,981302
(주)TSR,019379,2009/12,987154
(주)TSR,019379,2010/12,941964
(주)TSR,019379,2011/12,743928
(주)TSR,019379,2012/12,475109
(주)TSR,019379,2013/12,252002
(주)TSR,019379,2014/12,211064
(주)TSR,019379,2015/12,222510
(주)TSR,019379,2016/12,164113
(주)TSR,019379,2017/12,152411
(주)가야,050540,2007/12,126039
(주)가야,050540,2008/12,278323
(주)가야,050540,2009/12,373575
(주)가야,050540,2010/12,373091
(주)가야,050540,2011/12,346086
(주)가야,050540,2012/12,326180
(주)가야,050540,2013/12,241451
(주)가야,050540,2014/12,179906
(주)가야,050540,2015/12,147689
(주)가야,050540,2016/12,141799
(주)가야,050540,2017/12,163497
(주)가파치,021670,2001/12,2953784
(주)갑을프라스틱,012828,2001/12,33152
(주)갑을프라스틱,012828,2002/12,29294
(주)갑을프라스틱,012828,2003/12,25637
(주)갑을프라스틱,012828,2004/12,19829
(주)갑을프라스틱,012828,2005/12,14481
(주)갑을프라스틱,012828,2006/12,33444
(주)갑을프라스틱,012828,2007/12,180237
(주)갑을프라스틱,012828,2008/12,367262
(주)갑을프라스틱,012828,2009/12,599648
(주)갑을프라스틱,012828,2010/12,707605
(주)갑을프라스틱,012828,2011/12,723294
(주)갑을프라스틱,012828,2012/12,807397
(주)갑을프라스틱,012828,2013/12,636283
(주)갑을프라스틱,012828,2014/12,968870
(주)갑을프라스틱,012828,2015/12,1133333
(주)갤러리에이엠,078440,2015/12,67148
(주)갤러리에이엠,078440,2016/12,510487
(주)갤러리에이엠,078440,2017/12,698566
(주)거성빅스타,081385,2016/12,37241
(주)거성빅스타,081385,2017/12,190609
(주)거승,080493,2016/12,216687
(주)거승,080493,2017/12,241384
(주)건안산업,078363,2015/12,228332
(주)건안산업,078363,2016/12,239422
(주)건안산업,078363,2017/12,212855
(주)건양기업,047898,2007/12,69047
(주)건양기업,047898,2008/12,90186
(주)건양기업,047898,2009/12,77682
(주)건양기업,047898,2010/12,38184
(주)건양기업,047898,2011/12,38451
(주)건양기업,047898,2012/12,26443
(주)건양기업,047898,2013/12,64257
(주)건양기업,047898,2014/12,93498
(주)건양기업,047898,2015/12,89098
(주)건양기업,047898,2016/12,174210
(주)건양기업,047898,2017/12,224741
(주)건양페인트,012882,2001/12,1401520
(주)건양페인트,012882,2002/12,1280666
(주)건우기업,085850,2017/12,149424
(주)경남산업,059531,2009/12,424871
(주)경남산업,059531,2010/12,655894
(주)경남산업,059531,2011/12,918643
(주)경남캐미칼,085339,2017/12,148497
(주)경동개발,012917,2001/12,2603
(주)경동개발,012917,2002/12,2130
(주)경동개발,012917,2003/12,235
(주)경동개발,012917,2004/12,0
(주)경동개발,012917,2005/12,13974
(주)경동개발,012917,2006/12,188412
(주)경동개발,012917,2007/12,213002
(주)경동개발,012917,2008/12,195815
(주)경동개발,012917,2009/12,146760
(주)경동개발,012917,2010/12,127437
(주)경동개발,012917,2011/12,404
(주)경동개발,012917,2012/12,6302
(주)경동개발,012917,2013/12,40310
(주)경동개발,012917,2014/12,117144
(주)경동개발,012917,2015/12,97091
(주)경동개발,012917,2016/12,70282
(주)경동개발,012917,2017/12,131231
(주)경동목재,051061,2007/12,131199
(주)경동목재,051061,2008/12,343399
(주)경동목재,051061,2009/12,382126
(주)경동목재,051061,2010/12,374609
(주)경동바이오테크,065688,2012/12,0
(주)경동바이오테크,065688,2013/12,0
(주)경동바이오테크,065688,2014/12,397
(주)경동바이오테크,065688,2015/12,11070
(주)경동바이오테크,065688,2016/12,14132
(주)경동바이오테크,065688,2017/12,7756
(주)경동실업,030711,2002/12,83693
(주)경림에이치티시,076992,2015/12,277917
(주)경림에이치티시,076992,2016/12,434417
(주)경림에이치티시,076992,2017/12,368945
(주)경보제약,012927,2001/12,2520257
(주)경보제약,012927,2002/12,3396474
(주)경보제약,012927,2003/12,2942418
(주)경보제약,012927,2004/12,2402252
(주)경보제약,012927,2005/12,1811839
(주)경보제약,012927,2006/12,2197125
(주)경보제약,012927,2007/12,2875850
(주)경보제약,012927,2008/12,3209302
(주)경보제약,012927,2009/12,3370426
(주)경보제약,012927,2010/12,2960417
(주)경보제약,012927,2011/12,2762500
(주)경보제약,012927,2012/12,2358280
(주)경보제약,012927,2013/12,1285097
(주)경보제약,012927,2014/12,1084623
(주)경신공영,053056,2007/12,220061
(주)경신공영,053056,2008/12,316227
(주)경신공영,053056,2011/12,290763
(주)경인이피에스,077153,2015/12,302534
(주)경인이피에스,077153,2016/12,367145
(주)경인이피에스,077153,2017/12,385366
(주)경주수출포장,054496,2004/12,195063
(주)경주수출포장,054496,2005/12,160425
(주)경희,021874,2002/12,261118
(주)경희,021874,2003/12,263699
(주)경희,021874,2004/12,251530
(주)경희,021874,2005/12,233198
(주)경희,021874,2010/12,219375
(주)경희,021874,2011/12,293964
(주)경희,021874,2012/12,304322
(주)경희,021874,2013/12,252757
(주)경희,021874,2014/12,195698
(주)경희,021874,2015/12,202284
(주)경희,021874,2016/12,188527
(주)경희,021874,2017/12,174839
(주)계림공영,012989,2001/12,2328
(주)계림공영,012989,2002/12,3433
(주)계림공영,012989,2005/12,57725
(주)계림공영,012989,2006/12,59364
(주)계림공영,012989,2007/12,51819
(주)계우제지,030432,2002/12,433319
(주)고려노벨화약,021901,2001/12,2445324
(주)고려노벨화약,021901,2002/12,1412214
(주)고려노벨화약,021901,2003/12,993077
(주)고려노벨화약,021901,2004/12,1410195
(주)고려노벨화약,021901,2005/12,1738147
(주)고려노벨화약,021901,2006/12,1896240
(주)고려노벨화약,021901,2007/12,2145896
(주)고려노벨화약,021901,2008/12,2232909
(주)고려노벨화약,021901,2009/12,2574286
(주)고려노벨화약,021901,2010/12,2718110
(주)고려노벨화약,021901,2011/12,3230058
(주)고려노벨화약,021901,2012/12,2956920
(주)고려노벨화약,021901,2013/12,2088110
(주)고려노벨화약,021901,2014/12,1726768
(주)고려노벨화약,021901,2015/12,1467410
(주)고려노벨화약,021901,2016/12,1390919
(주)고려노벨화약,021901,2017/12,1367917
(주)고려물산,013004,2001/12,381740
(주)고려물산,013004,2002/12,508846
(주)고려물산,013004,2003/12,525335
(주)고려비엔피,030250,2002/12,291231
(주)고려비엔피,030250,2003/12,232608
(주)고려비엔피,030250,2004/12,416333
(주)고려비엔피,030250,2005/12,455410
(주)고려비엔피,030250,2006/12,469773
(주)고려비엔피,030250,2007/12,572739
(주)고려비엔피,030250,2008/12,744043
(주)고려비엔피,030250,2009/12,782637
