회사명,거래소코드,회계년도,[제조]   이자비용
(유)에스아이지,058564,2010/12,0
(유)에스아이지,058564,2011/12,0
(유)에스아이지,058564,2012/12,0
(유)에스아이지,058564,2013/12,0
(유)에스아이지,058564,2014/12,0
(유)에스아이지,058564,2015/12,0
(주)3Z,012815,2001/12,273290
(주)3Z,012815,2002/12,446539
(주)3Z,012815,2003/12,524025
(주)3Z,012815,2004/12,557833
(주)3Z,012815,2005/12,790213
(주)3Z,012815,2006/12,948326
(주)3Z,012815,2007/12,1154574
(주)3Z,012815,2008/12,747232
(주)3Z,012815,2009/12,558638
(주)3Z,012815,2010/12,319403
(주)3Z,012815,2011/12,408213
(주)3Z,012815,2012/12,314093
(주)3Z,012815,2013/12,147939
(주)3Z,012815,2014/12,146202
(주)3Z,012815,2015/12,232005
(주)3Z,012815,2016/12,159765
(주)3Z,012815,2017/12,160908
(주)ATS엔지니어링,061907,2010/12,161875
(주)ATS엔지니어링,061907,2011/12,358048
(주)ATS엔지니어링,061907,2012/12,407559
(주)ATS엔지니어링,061907,2013/12,283224
(주)ATS엔지니어링,061907,2014/12,462643
(주)ATS엔지니어링,061907,2015/12,350160
(주)ATS엔지니어링,061907,2016/12,303912
(주)ATS엔지니어링,061907,2017/12,304393
(주)DCFTREK,017676,2001/12,1216404
(주)DCFTREK,017676,2002/12,804512
(주)DCFTREK,017676,2003/12,563775
(주)DCFTREK,017676,2004/12,687233
(주)DCFTREK,017676,2005/12,593070
(주)DCFTREK,017676,2006/12,455637
(주)DCFTREK,017676,2007/12,401210
(주)DCFTREK,017676,2008/12,536774
(주)DCFTREK,017676,2009/12,1135704
(주)DCFTREK,017676,2010/12,1059683
(주)DCFTREK,017676,2011/12,924125
(주)DCFTREK,017676,2012/12,716135
(주)DCFTREK,017676,2013/12,704899
(주)DCFTREK,017676,2014/12,675400
(주)DCFTREK,017676,2015/12,310857
(주)DCFTREK,017676,2016/12,200794
(주)DCFTREK,017676,2017/12,193546
(주)GIMCO,072726,2014/12,198017
(주)GIMCO,072726,2015/12,369653
(주)GIMCO,072726,2016/12,669739
(주)GIMCO,072726,2017/12,669141
(주)GMT,048980,2007/12,408847
(주)GMT,048980,2008/12,481668
(주)GMT,048980,2009/12,438853
(주)GMT,048980,2010/12,286728
(주)H.M.T,056408,2008/12,656714
(주)H.M.T,056408,2009/12,875346
(주)H.M.T,056408,2010/12,918521
(주)H.M.T,056408,2011/12,958217
(주)H.M.T,056408,2012/12,1204804
(주)H.M.T,056408,2013/12,1476039
(주)KHE,027325,2001/12,1293009
(주)KHE,027325,2002/12,899112
(주)KHE,027325,2003/12,869451
(주)KHE,027325,2004/12,911349
(주)KHE,027325,2005/12,1164104
(주)KHE,027325,2006/12,1857713
(주)KHE,027325,2007/12,1777033
(주)KHE,027325,2008/12,3199667
(주)KHE,027325,2009/12,4649391
(주)KHE,027325,2010/12,3933065
(주)KHE,027325,2011/12,4820130
(주)KHE,027325,2012/12,5272060
(주)KHE,027325,2013/12,4329653
(주)KHE,027325,2014/12,3846998
(주)KHE,027325,2015/12,2979547
(주)KHE,027325,2016/12,2293274
(주)KHE,027325,2017/12,2023255
