회사명,거래소코드,회계년도,[제조]   이자비용
(유)프라이그파이스트,046117,2006/12,64539
(유)프라이그파이스트,046117,2007/12,62308
(주)21세기조선,040736,2004/12,428389
(주)21세기조선,040736,2005/12,1179714
(주)21세기조선,040736,2006/12,3735497
(주)21세기조선,040736,2007/12,5596145
(주)21세기조선,040736,2008/12,11167106
(주)21세기조선,040736,2009/12,18446103
(주)21세기조선,040736,2010/12,10599848
(주)21세기조선,040736,2011/12,13325612
(주)21세기조선,040736,2012/12,18649100
(주)EG메탈,058996,2010/12,357161
(주)EG메탈,058996,2011/12,474050
(주)EG메탈,058996,2012/12,478836
(주)EG메탈,058996,2013/12,396552
(주)EG메탈,058996,2014/12,394586
(주)EG메탈,058996,2015/12,374547
(주)EG메탈,058996,2016/12,342341
(주)EG메탈,058996,2017/12,316516
(주)JBM,058709,2009/12,284007
(주)JBM,058709,2010/12,316314
(주)JBM,058709,2011/12,316632
(주)JBM,058709,2012/12,377316
(주)JBM,058709,2013/12,337515
(주)JBM,058709,2014/12,363647
(주)JBM,058709,2015/12,310219
(주)JBM,058709,2016/12,268245
(주)JBM,058709,2017/12,278155
(주)JW솔라파크,081903,2016/12,45517
(주)JW솔라파크,081903,2017/12,1741295
(주)PSG,040133,2002/12,214333
(주)PSG,040133,2003/12,307445
(주)PSG,040133,2004/12,292191
(주)PSG,040133,2005/12,299947
(주)PSG,040133,2006/12,577946
(주)PSG,040133,2007/12,872033
(주)PSG,040133,2008/12,1084785
(주)PSG,040133,2009/12,1030731
(주)PSG,040133,2010/12,1150459
(주)PSG,040133,2011/12,1451299
(주)PSG,040133,2012/12,1313920
(주)PSG,040133,2013/12,952062
(주)PSG,040133,2014/12,655763
(주)PSG,040133,2015/12,143546
(주)PSG,040133,2016/12,14473
(주)PSG,040133,2017/12,2154
(주)XIOM,069167,2013/12,80489
(주)XIOM,069167,2014/12,207708
(주)XIOM,069167,2015/12,480339
(주)XIOM,069167,2016/12,496559
(주)XIOM,069167,2017/12,735703
(주)가스엔텍,088035,2017/12,119470
(주)가이아환경,041689,2004/12,256081
(주)가이아환경,041689,2005/12,240167
(주)가이아환경,041689,2006/12,256586
(주)가현,014227,2001/12,552886
(주)가현,014227,2002/12,366110
(주)가현,014227,2003/12,261736
(주)가현,014227,2004/12,202237
(주)가현,014227,2005/12,61294
(주)가현,014227,2006/12,39057
(주)가현,014227,2007/12,68456
(주)가현,014227,2008/12,47090
(주)가현,014227,2009/12,93433
(주)가현,014227,2010/12,99823
(주)가현,014227,2011/12,143888
(주)가현,014227,2012/12,180147
(주)가현,014227,2013/12,250569
(주)가현,014227,2014/12,211671
(주)가현,014227,2015/12,96257
(주)가현,014227,2016/12,0
(주)가현,014227,2017/12,0
(주)강성수산,012846,2003/12,517243
(주)강성수산,012846,2004/12,305654
(주)강진항촌태양광,080433,2016/12,52211
(주)강진항촌태양광,080433,2017/12,745739
(주)거금솔라파크,070563,2013/12,1044986
(주)거금솔라파크,070563,2014/12,2820000
(주)거금솔라파크,070563,2015/12,2723716
(주)거금솔라파크,070563,2016/12,2474684
(주)거금솔라파크,070563,2017/12,2515525
(주)거청,041595,2004/12,352833
(주)거청,041595,2005/12,244424
(주)거청,041595,2006/12,194855
(주)거청,041595,2007/12,149723
(주)거청,041595,2008/12,132567
(주)거청,041595,2009/12,589332
(주)거청,041595,2010/12,922079
(주)거청,041595,2011/12,467106
(주)거청,041595,2012/12,279516
(주)거청,041595,2013/12,203108
