회사명,거래소코드,회계년도,[제조]   이자비용
(유)그룹세브코리아,013171,2001/12,47143
(유)그룹세브코리아,013171,2002/12,0
(유)그룹세브코리아,013171,2003/12,153726
(유)그룹세브코리아,013171,2004/12,102219
(유)짐머바이오메트코리아,018711,2001/12,399081
(유)짐머바이오메트코리아,018711,2002/12,223267
(유)짐머바이오메트코리아,018711,2003/12,26024
(유)짐머바이오메트코리아,018711,2004/12,14026
(유)짐머바이오메트코리아,018711,2005/12,0
(유)짐머바이오메트코리아,018711,2006/12,33
(유)짐머바이오메트코리아,018711,2007/12,33
(유)짐머바이오메트코리아,018711,2008/12,81
(유)짐머바이오메트코리아,018711,2009/12,0
(유)짐머바이오메트코리아,018711,2010/12,0
(유)짐머바이오메트코리아,018711,2011/12,0
(유)짐머바이오메트코리아,018711,2012/12,0
(유)짐머바이오메트코리아,018711,2013/12,0
(유)짐머바이오메트코리아,018711,2014/12,0
(유)짐머바이오메트코리아,018711,2015/12,0
(유)짐머바이오메트코리아,018711,2016/12,284204
(유)짐머바이오메트코리아,018711,2017/12,0
(유)케이원에너지,047069,2006/12,393321
(유)케이원에너지,047069,2007/12,561458
(유)케이원에너지,047069,2008/12,811685
(유)케이원에너지,047069,2009/12,882104
(유)케이원에너지,047069,2010/12,897685
(유)케이원에너지,047069,2011/12,831587
(유)케이원에너지,047069,2012/12,796273
(유)케이원에너지,047069,2013/12,784581
(유)케이원에너지,047069,2014/12,863730
(유)케이원에너지,047069,2015/12,477564
(주)21세기화장품,030113,2002/12,0
(주)21세기화장품,030113,2003/12,0
(주)DKASTEEL,059783,2009/12,86776
(주)DKASTEEL,059783,2010/12,268519
(주)DKASTEEL,059783,2011/12,296562
(주)DKASTEEL,059783,2012/12,237121
(주)E-유로,077458,2015/12,111353
(주)E-유로,077458,2016/12,74548
(주)E-유로,077458,2017/12,80150
(주)G1네트웍스,061218,2010/12,0
(주)G1네트웍스,061218,2011/12,13390
(주)G1네트웍스,061218,2012/12,27997
(주)G1네트웍스,061218,2013/12,21981
(주)G1네트웍스,061218,2014/12,0
(주)G1네트웍스,061218,2015/12,0
(주)G1네트웍스,061218,2016/12,0
(주)G1네트웍스,061218,2017/12,0
(주)MK,087267,2017/12,12035
(주)NH무역,017587,2001/12,1636344
(주)NH무역,017587,2002/12,1087274
(주)NH무역,017587,2003/12,880258
(주)NH무역,017587,2004/12,489148
(주)NH무역,017587,2005/12,321140
(주)NH무역,017587,2006/12,288210
(주)NH무역,017587,2007/12,363977
(주)NH무역,017587,2008/12,725104
(주)NH무역,017587,2009/12,640536
(주)NH무역,017587,2010/12,614153
(주)NH무역,017587,2011/12,1143585
(주)NH무역,017587,2012/12,564409
(주)NH무역,017587,2013/12,437962
(주)NH무역,017587,2014/12,289194
