회사명,거래소코드,회계년도,[제조]   이자비용
(유)한국비엠에스제약,018712,2001/12,1231623
(유)한국비엠에스제약,018712,2002/12,1079162
(주)E&T,058267,2010/12,77166
(주)E&T,058267,2011/12,784614
(주)E&T,058267,2012/12,1360619
(주)E&T,058267,2013/12,870902
(주)E&T,058267,2014/12,1094071
(주)E&T,058267,2015/12,930224
(주)E&T,058267,2016/12,866703
(주)E&T,058267,2017/12,897607
(주)JTC,079976,2017/02,269530
(주)KAL호텔네트워크,029255,2002/12,0
(주)KAL호텔네트워크,029255,2003/12,2028373
(주)KAL호텔네트워크,029255,2004/12,6896147
(주)KAL호텔네트워크,029255,2005/12,5909462
(주)KAL호텔네트워크,029255,2006/12,6391507
(주)KAL호텔네트워크,029255,2007/12,4729859
(주)KAL호텔네트워크,029255,2008/12,4740697
(주)KAL호텔네트워크,029255,2009/12,5380660
(주)KAL호텔네트워크,029255,2010/12,6171000
(주)KAL호텔네트워크,029255,2011/12,5379014
(주)KAL호텔네트워크,029255,2012/12,3636024
(주)KAL호텔네트워크,029255,2013/12,3030693
(주)KAL호텔네트워크,029255,2014/12,5252140
(주)KAL호텔네트워크,029255,2015/12,9132375
(주)KAL호텔네트워크,029255,2016/12,8034618
(주)KAL호텔네트워크,029255,2017/12,7425523
(주)LF네트웍스,040278,2002/12,92532
(주)LF네트웍스,040278,2003/12,60792
(주)LF네트웍스,040278,2004/12,91873
(주)LF네트웍스,040278,2005/12,242963
(주)LF네트웍스,040278,2006/12,164476
(주)LF네트웍스,040278,2007/12,8069
(주)LF네트웍스,040278,2008/12,839
(주)LF네트웍스,040278,2009/12,1015907
(주)LF네트웍스,040278,2010/12,955890
(주)LF네트웍스,040278,2011/12,1082639
(주)LF네트웍스,040278,2012/12,1229372
(주)LF네트웍스,040278,2013/12,1978484
(주)LF네트웍스,040278,2014/12,1906752
(주)LF네트웍스,040278,2015/12,1865621
(주)LF네트웍스,040278,2016/12,2739942
(주)LF네트웍스,040278,2017/12,4548313
(주)SH로지스틱스&테크놀로지,063199,2011/12,132054
(주)SH로지스틱스&테크놀로지,063199,2012/12,188900
(주)SH로지스틱스&테크놀로지,063199,2013/12,181793
(주)SH로지스틱스&테크놀로지,063199,2014/12,170712
(주)SH로지스틱스&테크놀로지,063199,2015/12,138672
(주)가나마린,061723,2010/12,268224
(주)가나마린,061723,2011/12,301423
(주)가나마린,061723,2012/12,275408
(주)가나마린,061723,2013/12,222216
(주)가나마린,061723,2014/12,57619
(주)가나아트갤러리,017417,2001/12,131225
(주)가나아트갤러리,017417,2002/12,174583
(주)가나아트갤러리,017417,2003/12,141779
(주)가나아트갤러리,017417,2004/12,126074
(주)가나아트갤러리,017417,2005/12,130432
(주)가나아트갤러리,017417,2006/12,165905
(주)가나아트갤러리,017417,2007/12,372302
(주)가나아트갤러리,017417,2008/12,888964
(주)가나아트갤러리,017417,2009/12,785477
(주)가나아트갤러리,017417,2010/12,855450
(주)가나아트갤러리,017417,2011/12,946134
(주)가나아트갤러리,017417,2012/12,806073
(주)가나아트갤러리,017417,2013/12,802023
(주)가나아트갤러리,017417,2014/12,668619
(주)가나아트갤러리,017417,2015/12,550722
(주)가나아트갤러리,017417,2016/12,492117
(주)가나아트갤러리,017417,2017/12,498745
(주)가보관광산업,064248,2011/12,189406
(주)가보관광산업,064248,2012/12,341158
(주)가보관광산업,064248,2013/12,303872
(주)가보관광산업,064248,2014/12,282875
(주)가보관광산업,064248,2015/12,238286
(주)가보관광산업,064248,2016/12,225074
(주)가보관광산업,064248,2017/12,212878
(주)가야호텔,058439,2009/12,166849
(주)가야호텔,058439,2010/12,227310
(주)가야호텔,058439,2011/12,222796
(주)가야호텔,058439,2012/12,210597
(주)가야호텔,058439,2013/12,160727
(주)가야호텔,058439,2014/12,212113
(주)가야호텔,058439,2015/12,137960
(주)가야호텔,058439,2016/12,126702
(주)가야호텔,058439,2017/12,188487
(주)가이아로지스,071083,2013/12,0
(주)가이아로지스,071083,2014/12,334342
(주)가이아로지스,071083,2015/12,367338
(주)가이아로지스,071083,2016/12,393050
(주)가이아로지스,071083,2017/12,378965
(주)가이아물류,065435,2012/06,192130
(주)가이아물류,065435,2013/06,402994
(주)가이아물류,065435,2014/06,348235
(주)가이아물류,065435,2015/06,311948
(주)가이아물류,065435,2016/06,279986
(주)가이아물류,065435,2017/06,247696
(주)가현산업개발,066535,2012/12,403933
(주)가현산업개발,066535,2013/12,299287
(주)가현산업개발,066535,2014/12,461601
(주)가현산업개발,066535,2015/12,412711
(주)가현산업개발,066535,2016/12,420351
(주)가현산업개발,066535,2017/12,456568
(주)강남선박,062202,2010/12,287113
(주)강남선박,062202,2011/12,423531
(주)강남선박,062202,2012/12,372431
(주)강남선박,062202,2015/12,355737
(주)강남선박,062202,2016/12,314198
(주)강남선박,062202,2017/12,306536
(주)강성냉장,040686,2004/12,318879
(주)강성냉장,040686,2005/12,296835
(주)강성냉장,040686,2006/12,333024
(주)강성냉장,040686,2007/12,358667
(주)강성냉장,040686,2008/12,317506
(주)갤러리현대,048644,2007/12,381483
(주)갤러리현대,048644,2008/12,2209834
(주)갤러리현대,048644,2009/12,1580938
(주)갤러리현대,048644,2010/12,1356600
(주)갤러리현대,048644,2011/12,1667250
(주)갤러리현대,048644,2012/12,1531889
(주)갤러리현대,048644,2013/12,1186677
(주)갤러리현대,048644,2014/12,1086740
(주)갤러리현대,048644,2015/12,674340
(주)갤러리현대,048644,2016/12,347646
(주)갤러리현대,048644,2017/12,385884
(주)경기마트,076212,2015/12,159941
(주)경기마트,076212,2016/12,210821
(주)경기버스,063697,2011/12,207844
(주)경기버스,063697,2012/12,365792
(주)경기버스,063697,2013/12,234517
(주)경기버스,063697,2016/12,153513
(주)경기버스,063697,2017/12,166425
(주)경기상운,085567,2017/12,51662
(주)경기에너지,038844,2002/12,199908
(주)경기에너지,038844,2003/12,209340
(주)경기에너지,038844,2008/12,206256
(주)경기에너지,038844,2017/12,130349
(주)경동기전,050446,2007/12,361001
(주)경동기전,050446,2008/12,354151
(주)경동기전,050446,2009/12,423434
(주)경동기전,050446,2010/12,479445
(주)경동기전,050446,2011/12,454594
(주)경동기전,050446,2012/12,438491
(주)경동기전,050446,2013/12,646630
(주)경동기전,050446,2014/12,492621
(주)경동기전,050446,2015/12,418135
(주)경동기전,050446,2016/12,320508
(주)경동기전,050446,2017/12,217311
(주)경복궁면세점,075853,2015/12,447705
(주)경복궁면세점,075853,2016/12,440180
(주)경복궁면세점,075853,2017/12,246216
(주)경원라이프,052273,2007/12,184520
(주)경원라이프,052273,2008/12,644134
(주)경원라이프,052273,2009/12,615563
(주)경원라이프,052273,2010/12,583208
(주)경원라이프,052273,2011/12,534591
(주)경원라이프,052273,2012/12,473913
(주)경원라이프,052273,2013/12,432336
(주)경원라이프,052273,2014/12,395353
(주)경일,046351,2006/12,569362
(주)경일,046351,2007/12,811605
(주)경일,046351,2008/12,911637
(주)경일,046351,2009/12,1002006
(주)경일,046351,2010/12,974488
(주)경일,046351,2011/12,1118782
(주)경일,046351,2012/12,1285552
(주)경일,046351,2013/12,1622882
(주)경일,046351,2014/12,2665846
(주)경일,046351,2015/12,2380327
