회사명,거래소코드,회계년도,[제조]   이자비용
(주)유앤아이디벨롭먼트,086514,2017/12,338437
(주)유엔아이라이프,057255,2008/12,1160711
(주)유엔아이라이프,057255,2009/12,608381
(주)유엠씨홀딩스,016895,2001/12,384465
(주)유엠씨홀딩스,016895,2002/12,646879
(주)유엠씨홀딩스,016895,2003/12,594357
(주)유엠씨홀딩스,016895,2004/12,277133
(주)유엠씨홀딩스,016895,2005/12,148744
(주)유엠씨홀딩스,016895,2006/12,11507
(주)유엠씨홀딩스,016895,2007/12,113566
(주)유엠씨홀딩스,016895,2008/12,293615
(주)유엠씨홀딩스,016895,2009/12,118194
(주)유엠씨홀딩스,016895,2010/12,559809
(주)유엠씨홀딩스,016895,2011/12,373983
(주)유엠씨홀딩스,016895,2012/12,0
(주)유엠씨홀딩스,016895,2013/12,168422
(주)유엠씨홀딩스,016895,2014/12,195076
(주)유엠씨홀딩스,016895,2015/12,137734
(주)유엠씨홀딩스,016895,2016/12,84636
(주)유엠씨홀딩스,016895,2017/12,75154
(주)유용,070148,2013/12,3732
(주)유용,070148,2014/12,0
(주)유용,070148,2015/12,0
(주)유용,070148,2016/12,0
(주)유용,070148,2017/12,0
(주)유원,078470,2015/12,0
(주)유원,078470,2016/12,0
(주)유정디앤씨,046432,2006/12,1111930
(주)유창,074125,2014/12,0
(주)유창,074125,2015/12,0
(주)유창코퍼레이션,059802,2009/12,255334
(주)유창코퍼레이션,059802,2010/12,220969
(주)유창코퍼레이션,059802,2011/12,227957
(주)유창코퍼레이션,059802,2017/12,838150
(주)유창파트너스,056665,2008/12,1286002
(주)유창파트너스,056665,2009/12,1585161
(주)유창파트너스,056665,2010/12,710270
(주)유탑디씨앤씨,047386,2006/12,669444
(주)유탑디씨앤씨,047386,2007/12,3056872
(주)유탑디씨앤씨,047386,2008/12,3552632
(주)유탑디씨앤씨,047386,2009/12,5578763
(주)유탑디씨앤씨,047386,2010/12,4913118
(주)유탑디씨앤씨,047386,2011/12,2078570
(주)유탑디앤씨,073212,2014/12,32137
(주)유탑디앤씨,073212,2015/12,492217
(주)유탑디앤씨,073212,2016/12,571254
(주)유탑디앤씨,073212,2017/12,781527
(주)유탑인더월드,047378,2006/12,675505
(주)유탑인더월드,047378,2007/12,2655322
(주)유탑인더월드,047378,2008/12,3148568
(주)유탑인더월드,047378,2009/12,4009600
(주)유탑인더월드,047378,2010/12,3482753
(주)유탑인더월드,047378,2011/12,1482721
(주)유토개발,085064,2017/12,281239
(주)유토개발1차,085101,2017/12,0
(주)유화,052653,2008/12,0
(주)유화,052653,2009/12,0
(주)유화,052653,2010/12,7393
(주)유화,052653,2011/12,17049
(주)유화,052653,2012/12,721940
(주)유화,052653,2013/12,252801
(주)유화,052653,2014/12,276070
(주)유화,052653,2015/12,212158
