회사명,거래소코드,회계년도,[제조]   이자비용
(유)판토스홀딩스,078315,2015/12,0
(유)판토스홀딩스,078315,2016/12,774012
(재)미래인력연구원,054023,2007/12,0
(재)미래인력연구원,054023,2008/12,0
(재)미래인력연구원,054023,2011/12,0
(주)DNSC,063900,2011/12,294028
(주)DNSC,063900,2012/12,481946
(주)DNSC,063900,2013/12,422000
(주)DNSC,063900,2014/12,172737
(주)DNSC,063900,2015/12,173949
(주)DNSC,063900,2016/12,103293
(주)DNSC,063900,2017/12,192675
(주)LGEI,030602,2002/12,81055000
(주)LG경영개발원,018261,2001/03,0
(주)LG경영개발원,018261,2002/03,0
(주)LG경영개발원,018261,2003/03,0
(주)LG경영개발원,018261,2004/03,0
(주)LG경영개발원,018261,2005/12,0
(주)LG경영개발원,018261,2006/12,0
(주)LG경영개발원,018261,2007/12,0
(주)LG경영개발원,018261,2008/12,0
(주)LG경영개발원,018261,2009/12,0
(주)LG경영개발원,018261,2010/12,0
(주)LG경영개발원,018261,2011/12,0
(주)LG경영개발원,018261,2012/12,0
(주)LG경영개발원,018261,2013/12,0
(주)LG경영개발원,018261,2014/12,0
(주)LG경영개발원,018261,2015/12,0
(주)LG경영개발원,018261,2016/12,0
(주)LG경영개발원,018261,2017/12,0
(주)MBC애드컴,020588,2001/12,113340
(주)MBC애드컴,020588,2002/12,9375
(주)MBC애드컴,020588,2003/12,418
(주)MBC애드컴,020588,2004/12,397
(주)MBC애드컴,020588,2005/12,71
(주)MBC애드컴,020588,2006/12,32
(주)MBC애드컴,020588,2007/12,2
(주)MBC애드컴,020588,2008/12,0
(주)MBC애드컴,020588,2009/12,365
(주)MBC애드컴,020588,2010/12,0
(주)P&I지주,014359,2003/12,311511
(주)P&I지주,014359,2004/12,209983
(주)P&I지주,014359,2005/12,158092
(주)P&I지주,014359,2006/12,236590
(주)P&I지주,014359,2007/12,296688
(주)P&I지주,014359,2008/12,163596
(주)P&I지주,014359,2009/12,95264
(주)P&I지주,014359,2010/12,114553
(주)P&I지주,014359,2011/12,77614
(주)P&I지주,014359,2012/12,77040
(주)P&I지주,014359,2013/12,113009
(주)P&I지주,014359,2014/12,30176
(주)P&I지주,014359,2015/12,30970
(주)P&I지주,014359,2016/12,69828
(주)P&I지주,014359,2017/12,54077
(주)STX종합기술원,060652,2011/12,0
(주)STX종합기술원,060652,2012/12,0
(주)간삼건축종합건축사사무소,042787,2005/06,556300
(주)간삼건축종합건축사사무소,042787,2006/06,524102
(주)간삼건축종합건축사사무소,042787,2007/06,491547
(주)간삼건축종합건축사사무소,042787,2008/06,470878
(주)간삼건축종합건축사사무소,042787,2009/06,495198
(주)간삼건축종합건축사사무소,042787,2010/06,509875
(주)간삼건축종합건축사사무소,042787,2011/12,539852
