회사명,거래소코드,회계년도,[제조]   이자비용
(주)A.M.C,064118,2011/12,253787
(주)A.M.C,064118,2012/12,217525
(주)A.M.C,064118,2013/12,177470
(주)A.M.C,064118,2014/12,197223
(주)A.M.C,064118,2015/12,320732
(주)A.M.C,064118,2016/12,333570
(주)A.M.C,064118,2017/12,389121
(주)HM금속,043596,2005/12,414777
(주)HM금속,043596,2006/12,446038
(주)HM금속,043596,2007/12,479383
(주)HM금속,043596,2008/12,1033838
(주)HM금속,043596,2009/12,849353
(주)HM금속,043596,2010/12,993994
(주)HM금속,043596,2011/12,1013451
(주)HM금속,043596,2012/12,971531
(주)HM금속,043596,2013/12,1620377
(주)HM금속,043596,2014/12,2118681
(주)HM금속,043596,2015/12,5071952
(주)HM금속,043596,2016/12,2847294
(주)HM금속,043596,2017/12,1702103
(주)JS중공업,062045,2010/12,131930
(주)JS중공업,062045,2011/12,59560
(주)JS중공업,062045,2012/12,42543
(주)JS중공업,062045,2013/12,43532
(주)JS중공업,062045,2014/12,35690
(주)MSSteel,048874,2007/12,631197
(주)MSSteel,048874,2010/12,622988
(주)MSSteel,048874,2011/12,463486
(주)MSSteel,048874,2012/12,398086
(주)MSSteel,048874,2013/12,371438
(주)MS이엔지,042524,2004/12,229436
(주)MS이엔지,042524,2005/12,187767
(주)MS이엔지,042524,2006/12,151921
(주)MS이엔지,042524,2007/12,179569
(주)MS이엔지,042524,2008/12,269893
(주)MS이엔지,042524,2009/12,206459
(주)MS이엔지,042524,2010/12,183953
(주)MS이엔지,042524,2011/12,162016
(주)MS이엔지,042524,2012/12,111006
(주)MS이엔지,042524,2013/12,62571
(주)MS이엔지,042524,2014/12,77071
(주)MS이엔지,042524,2015/12,104457
(주)MS이엔지,042524,2016/12,97062
(주)MS이엔지,042524,2017/12,118518
(주)가야,045119,2006/12,199834
(주)가야,045119,2007/12,226737
(주)가야,045119,2008/12,339499
(주)가야,045119,2009/12,174081
(주)가야,045119,2010/12,254476
