회사명,거래소코드,회계년도,[제조]   이자비용
(주)GST투자개발,086402,2017/12,100847
(주)MBC아카데미,020587,2001/12,0
(주)MBC아카데미,020587,2002/12,0
(주)MBC아카데미,020587,2003/12,0
(주)MBC아카데미,020587,2004/12,0
(주)MBC아카데미,020587,2005/12,0
(주)MBC아카데미,020587,2006/12,0
(주)MBC아카데미,020587,2007/12,0
(주)MBC아카데미,020587,2008/12,0
(주)MBC아카데미,020587,2009/12,0
(주)MBC아카데미,020587,2010/12,0
(주)MBC아카데미,020587,2011/12,0
(주)MBC아카데미,020587,2012/12,0
(주)MBC아카데미,020587,2013/12,0
(주)MBC아카데미,020587,2014/12,0
(주)MBC아카데미,020587,2015/12,0
(주)MBC아카데미,020587,2016/12,0
(주)MBC아카데미,020587,2017/12,0
(주)NH여행,047761,2007/12,0
(주)NH여행,047761,2008/12,20129
(주)가겐투안,043566,2005/12,123151
(주)가겐투안,043566,2006/12,120162
(주)가겐투안,043566,2007/12,145988
(주)가겐투안,043566,2008/12,162972
(주)가겐투안,043566,2009/12,142567
(주)가겐투안,043566,2010/12,145205
(주)가겐투안,043566,2011/12,125680
(주)가겐투안,043566,2012/12,98967
(주)가겐투안,043566,2013/12,70043
(주)가겐투안,043566,2014/12,58761
(주)가겐투안,043566,2015/12,52499
(주)가겐투안,043566,2016/12,40200
(주)가겐투안,043566,2017/12,37177
(주)가오닉스스포츠,039478,2002/12,2025253
(주)가오닉스스포츠,039478,2003/12,3636387
(주)가오닉스스포츠,039478,2004/12,2734725
(주)가오닉스스포츠,039478,2005/12,2814541
(주)가오닉스스포츠,039478,2006/12,3473976
(주)가오닉스스포츠,039478,2007/12,3508607
(주)가오닉스스포츠,039478,2008/12,3515188
(주)강변스포렉스,021688,2001/12,398029
(주)강변스포렉스,021688,2002/12,805054
(주)강변스포렉스,021688,2003/12,1120400
(주)강변스포렉스,021688,2004/12,1038030
(주)강변스포렉스,021688,2005/12,1388181
(주)강변스포렉스,021688,2006/12,1526578
(주)강진베이스볼파크,063861,2011/12,235619
(주)강진베이스볼파크,063861,2012/12,230534
(주)강촌레일파크,066189,2012/12,247083
(주)강촌레일파크,066189,2013/12,675406
(주)강촌레일파크,066189,2014/12,572806
(주)강촌레일파크,066189,2015/12,586088
(주)강촌레일파크,066189,2016/12,330315
(주)강촌레일파크,066189,2017/12,259247
(주)강화파라다이스,042274,2004/12,0
(주)강화파라다이스,042274,2005/12,162854
(주)갤럭시스포츠,068850,2013/12,54611
(주)갤럭시스포츠,068850,2014/12,298840
(주)거제씨월드,069086,2013/12,68496
(주)거제씨월드,069086,2014/12,785174
(주)거제씨월드,069086,2015/12,972624
(주)거제씨월드,069086,2016/12,987362
(주)거제씨월드,069086,2017/12,954786
(주)건강나라,053107,2007/12,0
(주)건강나라,053107,2008/12,0
(주)건민,029929,2002/12,623313
(주)건민,029929,2003/12,541366
(주)건민,029929,2004/12,557606
(주)건민,029929,2005/12,552042
(주)건민,029929,2006/12,515899
(주)건민,029929,2007/12,494619
(주)건민,029929,2008/12,528087
(주)건민,029929,2009/12,375323
(주)건민,029929,2010/12,398989
(주)건민,029929,2011/12,554633
(주)건민,029929,2012/12,504206
(주)건민,029929,2013/12,374752
(주)건민,029929,2014/12,338551
(주)건민,029929,2015/12,264315
(주)건민,029929,2016/12,215641
(주)건민,029929,2017/12,204251
(주)건우해양,049380,2007/12,326849
(주)건우해양,049380,2008/12,387391
(주)건우해양,049380,2009/12,535028
(주)건우해양,049380,2010/12,507465
(주)건우해양,049380,2011/12,500984
(주)건우해양,049380,2012/12,385788
(주)건우해양,049380,2013/12,307178
(주)건우해양,049380,2014/12,316949
(주)건우해양,049380,2015/12,281588
(주)건우해양,049380,2016/12,247309
(주)건우해양,049380,2017/12,241411
(주)게임홀딩스,052038,2007/12,36961
(주)게임홀딩스,052038,2008/12,1121232
(주)게임홀딩스,052038,2009/12,1409115
(주)게임홀딩스,052038,2010/12,1402592
(주)경,049448,2007/12,205255
(주)경,049448,2008/12,223758
(주)경,049448,2009/12,221431
(주)경,049448,2010/12,203778
(주)경,049448,2011/12,190580
(주)경,049448,2012/12,156849
(주)경복궁웨딩컨벤션,040105,2002/12,168120
(주)경복궁웨딩컨벤션,040105,2003/12,644550
(주)경복궁웨딩컨벤션,040105,2004/12,897566
(주)경복궁웨딩컨벤션,040105,2005/12,822434
(주)경복궁웨딩컨벤션,040105,2006/12,743693
(주)경복궁웨딩컨벤션,040105,2007/12,707090
(주)경복궁웨딩컨벤션,040105,2008/12,662358
(주)경복궁웨딩컨벤션,040105,2009/12,514776
(주)경복궁웨딩컨벤션,040105,2010/12,494255
(주)경복궁웨딩컨벤션,040105,2011/12,86848
(주)경우라이프,069756,2013/12,0
(주)경우라이프,069756,2014/12,0
(주)경우라이프,069756,2015/12,0
(주)경우라이프,069756,2016/12,0
(주)경우라이프,069756,2017/12,0
(주)경주버드파크,070794,2013/12,346838
(주)경주버드파크,070794,2014/12,581343
(주)경주버드파크,070794,2015/12,540470
(주)경주버드파크,070794,2016/12,550080
