회사명,거래소코드,회계년도,[제조]   이자비용
(유)딘텍스코리아,078313,2015/12,434034
(유)딘텍스코리아,078313,2016/12,506952
(주)D.L섬유,064345,2011/12,270879
(주)D.L섬유,064345,2012/12,356883
(주)D.L섬유,064345,2013/12,341204
(주)D.L섬유,064345,2014/12,321305
(주)D.L섬유,064345,2015/12,314739
(주)D.L섬유,064345,2016/12,297732
(주)ENS,030661,2002/12,70066
(주)ENS,030661,2003/12,29730
(주)ENS,030661,2004/12,75956
(주)ENS,030661,2005/12,116817
(주)ENS,030661,2006/12,338859
(주)ENS,030661,2007/12,704687
(주)ENS,030661,2008/12,1067377
(주)ENS,030661,2009/12,1034431
(주)ENS,030661,2010/12,1136249
(주)ENS,030661,2011/12,1362682
(주)ENS,030661,2012/12,1112118
(주)ENS,030661,2013/12,1098796
(주)ENS,030661,2014/12,606241
(주)ENS,030661,2015/12,565327
(주)ENS,030661,2016/12,200179
(주)ENS,030661,2017/12,184048
(주)GBSTYLE,029522,2002/12,369960
(주)GBSTYLE,029522,2003/12,298108
(주)GBSTYLE,029522,2004/12,249218
(주)GBSTYLE,029522,2005/12,212559
(주)GBSTYLE,029522,2006/12,363672
(주)GBSTYLE,029522,2007/12,566971
(주)GBSTYLE,029522,2008/12,620026
(주)GBSTYLE,029522,2009/12,574991
(주)GBSTYLE,029522,2010/12,537001
(주)GBSTYLE,029522,2011/12,746631
(주)GBSTYLE,029522,2012/12,1198295
(주)GBSTYLE,029522,2013/12,1218787
(주)GBSTYLE,029522,2014/12,1282430
(주)GBSTYLE,029522,2015/12,1288573
(주)GBSTYLE,029522,2016/12,1425400
(주)GBSTYLE,029522,2017/12,1350784
(주)SRC,080886,2016/12,262983
(주)SRC,080886,2017/12,252288
(주)TS센트릭,020607,2001/12,1393855
(주)가나섬유,041092,2004/12,335444
(주)가나섬유,041092,2005/12,311689
(주)가나섬유,041092,2006/12,342550
(주)가우디,012823,2001/12,538796
(주)가우디,012823,2002/12,139616
(주)가우디,012823,2003/12,50055
(주)가인물산,068891,2013/12,52103
(주)가인물산,068891,2014/12,39354
(주)가인물산,068891,2015/12,59660
(주)가인물산,068891,2016/12,60081
(주)가인물산,068891,2017/12,29496
(주)갑을,049808,2002/12,58550594
(주)갑을,049808,2003/12,99064099
(주)갑을,049808,2004/12,1781771
(주)갑을,049808,2005/12,5022586
(주)갑을,049808,2006/12,453401
(주)강남산업,012833,2001/12,891215
(주)강남산업,012833,2002/12,860493
(주)강남산업,012833,2003/12,880364
(주)강숙희레디스웨어,012847,2001/12,0
(주)강숙희레디스웨어,012847,2002/12,0
(주)강숙희레디스웨어,012847,2003/12,0
(주)강숙희레디스웨어,012847,2004/12,0
(주)강숙희레디스웨어,012847,2005/12,0
(주)강숙희레디스웨어,012847,2006/12,0
(주)강숙희레디스웨어,012847,2007/12,0
(주)강숙희레디스웨어,012847,2008/12,0
(주)강원심층수,047909,2007/12,0
(주)강원심층수,047909,2008/12,0
(주)강원심층수,047909,2009/12,435125
(주)강원심층수,047909,2010/12,893112
(주)강원심층수,047909,2011/12,757452
(주)강원심층수,047909,2012/12,753029
(주)강원심층수,047909,2013/12,841981
(주)강원심층수,047909,2014/12,996714
(주)강원심층수,047909,2015/12,948686
(주)강원심층수,047909,2016/12,808869
(주)강원심층수,047909,2017/12,765567
(주)강원엘피씨,019670,2001/12,25348
(주)강원엘피씨,019670,2002/12,279989
(주)강원엘피씨,019670,2003/12,402033
(주)강원엘피씨,019670,2004/12,447802
(주)강원엘피씨,019670,2005/12,420761
(주)강원엘피씨,019670,2006/12,320278
(주)강원엘피씨,019670,2007/12,390281
(주)강원엘피씨,019670,2008/12,483632
(주)강원엘피씨,019670,2009/12,698234
(주)강원엘피씨,019670,2010/12,622123
(주)강원엘피씨,019670,2011/12,735046
(주)강원엘피씨,019670,2012/12,973455
(주)강원엘피씨,019670,2013/12,633678
(주)강원엘피씨,019670,2014/12,473254
(주)개미식품,085170,2017/12,94519
(주)거성,028808,2001/12,171593
(주)거성산업자재,029952,2002/12,435130
(주)거성산업자재,029952,2003/12,393840
(주)거성산업자재,029952,2004/12,529437
(주)거성산업자재,029952,2005/12,591888
(주)거성산업자재,029952,2006/12,629265
(주)거성산업자재,029952,2007/12,592075
(주)거성산업자재,029952,2008/12,617155
(주)거성산업자재,029952,2009/12,342699
(주)거성산업자재,029952,2010/12,359438
(주)거성산업자재,029952,2011/12,364051
(주)거성산업자재,029952,2012/12,358639
(주)거성산업자재,029952,2013/12,357163
(주)거성산업자재,029952,2014/12,332877
(주)거성산업자재,029952,2015/12,349317
(주)거성산업자재,029952,2016/12,293745
(주)거성산업자재,029952,2017/12,264086
(주)건아엔터프라이즈,061086,2010/12,324961
(주)건아엔터프라이즈,061086,2011/12,580155
(주)건아엔터프라이즈,061086,2012/12,598136
(주)건아엔터프라이즈,061086,2013/12,555908
(주)건아엔터프라이즈,061086,2014/12,616872
(주)건아엔터프라이즈,061086,2015/12,507216
(주)건아엔터프라이즈,061086,2016/12,209165
(주)건양미곡종합처리장,040508,2004/07,84452
(주)건양미곡종합처리장,040508,2005/07,171689
(주)건양미곡종합처리장,040508,2006/07,139186
(주)건양미곡종합처리장,040508,2007/07,148384
(주)건양미곡종합처리장,040508,2008/07,98342
(주)건양미곡종합처리장,040508,2009/07,283516
(주)건양미곡종합처리장,040508,2010/07,275270
(주)건양미곡종합처리장,040508,2011/07,207468
(주)건양미곡종합처리장,040508,2012/07,76525
(주)건양미곡종합처리장,040508,2013/07,283
(주)건양미곡종합처리장,040508,2014/07,189
(주)건양미곡종합처리장,040508,2015/07,11
(주)건양미곡종합처리장,040508,2016/07,2000
(주)건양미곡종합처리장,040508,2017/07,2000
(주)건용무역,053449,2007/12,536589
(주)건용무역,053449,2008/12,527758
(주)건용무역,053449,2011/12,469342
(주)경방상사,012923,2001/12,3383883
(주)경방상사,012923,2002/12,2167269
(주)경방어패럴,017034,2001/12,
(주)경방어패럴,017034,2002/12,
(주)경방어패럴,017034,2003/12,
(주)경방어패럴,017034,2004/12,
(주)경방어패럴,017034,2005/12,
(주)경방어패럴,017034,2008/12,
(주)경방어패럴,017034,2009/12,
(주)경방어패럴,017034,2010/12,
(주)경방어패럴,017034,2011/12,
(주)경방어패럴,017034,2012/12,
(주)경방어패럴,017034,2013/12,
(주)경방어패럴,017034,2014/12,
(주)경방어패럴,017034,2015/12,0
(주)경방어패럴,017034,2016/12,56461
(주)경방어패럴,017034,2017/12,184366
(주)경빈,020642,2001/12,83366
(주)경빈,020642,2002/12,158120
(주)경승,012806,2001/12,215504
(주)경승,012806,2002/12,178195
(주)경승,012806,2003/12,289657
(주)경승,012806,2004/12,288844
(주)경승,012806,2005/12,336670
(주)경승,012806,2006/12,552199
(주)경승,012806,2007/12,471902
(주)경승,012806,2008/12,813923
(주)경승,012806,2009/12,462932
(주)경승,012806,2010/12,295675
(주)경승,012806,2011/12,567598
(주)경승,012806,2012/12,1013717
(주)경승,012806,2013/12,936474
(주)경승,012806,2014/12,904684
(주)경승,012806,2015/12,899683
(주)경승,012806,2016/12,916533
(주)경승,012806,2017/12,972136
(주)경원,039295,2002/12,301865
(주)경원,039295,2003/12,358477
(주)경원,039295,2004/12,428563
(주)경원,039295,2005/12,438903
(주)경원,039295,2006/12,457740
(주)경원,039295,2007/12,507636
(주)경원,039295,2008/12,513161
(주)경한인더스트리,046149,2006/12,1506099
(주)경한인더스트리,046149,2007/12,1608671
(주)경한인더스트리,046149,2008/12,1773998
(주)경한인더스트리,046149,2009/12,2406151
(주)경한인더스트리,046149,2010/12,2149089
(주)경한인더스트리,046149,2011/12,1639848
(주)경한인더스트리,046149,2012/12,2296356
(주)경한인더스트리,046149,2013/12,2025865
(주)경한인더스트리,046149,2014/12,1871539
(주)경한인더스트리,046149,2015/12,1769083
(주)경한인더스트리,046149,2016/12,1376675
(주)경한인더스트리,046149,2017/12,1338256
(주)계림물산,040856,2004/12,236227
(주)계림물산,040856,2005/12,183056
(주)계림물산,040856,2006/12,207698
(주)계림물산,040856,2007/12,267862
(주)계림물산,040856,2008/12,444838
(주)계림물산,040856,2009/12,353584
(주)계림물산,040856,2010/12,393561
(주)계림물산,040856,2011/12,508154
(주)계림물산,040856,2012/12,510827
(주)계림물산,040856,2013/12,428254
(주)계림물산,040856,2014/12,299023
(주)계림식품농업회사법인,085633,2017/12,176018
(주)고려바이오홍삼,060369,2010/09,393441
(주)고려바이오홍삼,060369,2011/09,452960
(주)고려바이오홍삼,060369,2012/09,491316
(주)고려바이오홍삼,060369,2013/09,563484
(주)고려바이오홍삼,060369,2014/09,761458
(주)고려바이오홍삼,060369,2015/09,167682
(주)고려바이오홍삼,060369,2016/09,143001
(주)고려에프앤에프,068913,2013/12,6619
(주)고려에프앤에프,068913,2014/12,0
(주)고려에프앤에프,068913,2015/12,0
(주)고려에프앤에프,068913,2016/12,0
(주)고려에프앤에프,068913,2017/12,0
(주)고텍스타일,073444,2014/12,229266
(주)고텍스타일,073444,2015/12,218760
(주)고텍스타일,073444,2016/12,193872
(주)고텍스타일,073444,2017/12,189459
