회사명,거래소코드,회계년도,[제조]   이자비용
(유)랍코리아,038598,2002/09,172923
(유)랍코리아,038598,2003/09,345150
(유)랍코리아,038598,2004/09,380314
(유)랍코리아,038598,2005/09,290141
(유)랍코리아,038598,2006/09,260650
(유)랍코리아,038598,2007/09,288065
(유)랍코리아,038598,2008/09,382712
(유)랍코리아,038598,2009/09,355313
(유)랍코리아,038598,2010/09,417030
(유)포리코리아,038721,2002/12,53975
(유)포리코리아,038721,2005/12,388137
(유)포리코리아,038721,2006/12,362010
(유)포리코리아,038721,2007/12,433246
(유)포리코리아,038721,2008/12,495358
(주)ABC,020570,2001/12,542848
(주)ABC,020570,2002/12,521828
(주)IEN한창,045661,2006/12,188838
(주)IEN한창,045661,2007/12,146774
(주)IEN한창,045661,2008/12,168889
(주)IEN한창,045661,2009/12,233331
(주)IEN한창,045661,2010/12,411965
(주)IEN한창,045661,2011/12,599729
(주)IEN한창,045661,2012/12,684053
(주)IEN한창,045661,2013/12,565723
(주)IEN한창,045661,2014/12,554358
(주)IEN한창,045661,2015/12,584449
(주)IEN한창,045661,2016/12,668518
(주)IEN한창,045661,2017/12,663499
(주)JK알에스티,063959,2011/12,249436
(주)JK알에스티,063959,2012/12,308152
(주)JK알에스티,063959,2013/12,321346
(주)JK알에스티,063959,2014/12,367578
(주)JK알에스티,063959,2015/12,272170
(주)JK알에스티,063959,2016/12,261933
(주)JK알에스티,063959,2017/12,251705
(주)JNC하이텍,063938,2011/12,114604
(주)JNC하이텍,063938,2012/12,607382
(주)JNC하이텍,063938,2013/12,600592
(주)JNC하이텍,063938,2014/12,522585
(주)JNC하이텍,063938,2015/12,491233
(주)JNC하이텍,063938,2016/12,197307
(주)JNC하이텍,063938,2017/12,223100
(주)KH엘텍,043023,2005/12,139266
(주)KH엘텍,043023,2006/12,345036
(주)KH엘텍,043023,2007/12,553212
(주)KH엘텍,043023,2008/12,652208
(주)KH엘텍,043023,2009/12,444752
(주)KH엘텍,043023,2010/12,227023
(주)KH엘텍,043023,2011/12,35488
(주)KH엘텍,043023,2012/12,197868
(주)KH엘텍,043023,2013/12,315207
(주)KH엘텍,043023,2014/12,228891
(주)KH엘텍,043023,2015/12,201216
(주)KH엘텍,043023,2016/12,242778
(주)KH엘텍,043023,2017/12,260545
(주)KJ컴텍,038835,2002/12,41714
(주)KJ컴텍,038835,2003/12,103980
(주)KJ컴텍,038835,2004/12,144182
(주)KJ컴텍,038835,2005/12,117245
(주)KJ컴텍,038835,2006/12,82395
(주)KJ컴텍,038835,2007/12,115814
(주)KJ컴텍,038835,2008/12,158546
(주)KJ컴텍,038835,2012/12,300814
(주)KJ컴텍,038835,2013/12,263976
(주)KJ컴텍,038835,2014/12,222533
(주)KTE,026849,2001/12,7684
(주)KTE,026849,2002/12,0
(주)KTE,026849,2003/12,0
(주)KTE,026849,2004/12,174596
(주)KTE,026849,2005/12,253642
(주)KTE,026849,2006/12,273140
(주)KTE,026849,2007/12,178016
(주)KTE,026849,2008/12,298153
(주)KTE,026849,2009/12,393352
(주)KTE,026849,2010/12,283364
(주)KTE,026849,2011/12,96666
(주)KTE,026849,2012/12,595967
(주)KTE,026849,2013/12,1500314
(주)KTE,026849,2014/12,1911053
(주)KTE,026849,2015/12,2318847
(주)KTE,026849,2016/12,2772445
(주)KTE,026849,2017/12,7284
(주)MG전자,063566,2011/12,244292
(주)MG전자,063566,2012/12,301877
(주)MG전자,063566,2013/12,175496
(주)P&T,049179,2007/12,220623
(주)SJ테크,041396,2004/12,335608
(주)SJ테크,041396,2005/12,337463
(주)SJ테크,041396,2006/12,416753
(주)SJ테크,041396,2007/12,548286
(주)SJ테크,041396,2008/12,1103667
(주)SJ테크,041396,2009/12,1816547
(주)SJ테크,041396,2010/12,2768446
(주)SJ테크,041396,2011/12,2797907
(주)SJ테크,041396,2012/12,1935615
(주)SJ테크,041396,2013/12,1566861
(주)SJ테크,041396,2014/12,1589010
(주)SJ테크,041396,2015/12,2421524
(주)SJ테크,041396,2016/12,2674969
(주)SJ테크,041396,2017/12,3100808
(주)가람나노텍,044632,2005/12,437933
(주)가람솔루션,043426,2005/12,219256
(주)가람솔루션,043426,2006/12,289281
(주)가람솔루션,043426,2007/12,299312
(주)가람솔루션,043426,2008/12,405053
(주)가람솔루션,043426,2009/12,373852
(주)가람솔루션,043426,2010/12,362402
(주)가람솔루션,043426,2011/12,310811
(주)가람솔루션,043426,2012/12,97792
(주)가스트론,064189,2011/12,64
(주)가스트론,064189,2012/12,3706
(주)가스트론,064189,2013/12,4433
(주)가스트론,064189,2014/12,3
(주)가스트론,064189,2015/12,0
(주)가스트론,064189,2016/12,0
(주)가스트론,064189,2017/12,0
(주)감마누,050235,2007/12,72857
(주)감마누,050235,2008/12,57992
(주)감마누,050235,2009/12,3568
(주)감마누,050235,2010/12,1243
(주)감마누,050235,2011/12,10121
(주)감마누,050235,2012/12,34695
(주)감마누,050235,2013/12,0
(주)갑을골드텍,044226,2005/12,24353
(주)갑을골드텍,044226,2006/12,652
(주)갑진,058622,2009/12,15129
(주)갑진,058622,2010/12,179058
(주)갑진,058622,2011/12,140223
(주)갑진,058622,2015/12,236859
(주)갑진,058622,2016/12,277388
(주)갑진,058622,2017/12,341100
(주)갤럭시아디스플레이,056510,2008/12,117210
(주)갤럭시아디스플레이,056510,2009/12,198108
(주)갤럭시아디스플레이,056510,2010/12,511162
(주)갤럭시아디스플레이,056510,2011/12,1865325
(주)갤럭시아디스플레이,056510,2012/12,1533811
(주)거림,086328,2017/12,226008
(주)거봉,061799,2010/12,310951
(주)거봉,061799,2011/12,399409
(주)거봉,061799,2012/12,355201
(주)거봉,061799,2013/12,330484
(주)거봉,061799,2014/12,320881
(주)거봉,061799,2015/12,256498
(주)거봉,061799,2016/12,331366
(주)거봉,061799,2017/12,390190
(주)거영산업,041714,2004/12,193231
(주)거영산업,041714,2005/12,183460
(주)거영산업,041714,2006/12,149594
(주)건잠디지털,011021,2001/12,197882
(주)건잠디지털,011021,2002/12,312522
(주)건잠디지털,011021,2003/12,335035
(주)건잠디지털,011021,2004/12,243184
(주)건잠디지털,011021,2005/12,105868
(주)건화이앤아이,010535,2001/12,640143
(주)경도시스템,029132,2002/12,99307
(주)경도시스템,029132,2003/12,135499
(주)경도시스템,029132,2004/12,238110
(주)경도시스템,029132,2005/12,304240
(주)경도시스템,029132,2006/12,403451
(주)경도시스템,029132,2007/12,458968
(주)경도시스템,029132,2008/12,460976
(주)경도시스템,029132,2009/12,428646
(주)경도시스템,029132,2010/12,430296
(주)경도시스템,029132,2011/12,405346
(주)경도시스템,029132,2012/12,394744
(주)경도시스템,029132,2013/12,293048
(주)경동네트웍,058201,2010/12,361896
(주)경동네트웍,058201,2011/12,970183
(주)경동이앤에스,047770,2007/12,849117
(주)경동이앤에스,047770,2008/12,1100275
(주)경동이앤에스,047770,2009/12,2418674
(주)경동이앤에스,047770,2010/12,2423424
(주)경동이앤에스,047770,2011/12,2307776
(주)경동이앤에스,047770,2012/12,1310598
(주)경동이앤에스,047770,2013/12,1101547
(주)경동이앤에스,047770,2014/12,1320705
(주)경동이앤에스,047770,2015/12,1082524
(주)경동이앤에스,047770,2016/12,852805
(주)경동이앤에스,047770,2017/12,645418
(주)경보씰텍,012925,2001/12,174115
(주)경보씰텍,012925,2002/12,127872
(주)경보씰텍,012925,2003/12,109138
(주)경보씰텍,012925,2004/12,66652
(주)경보씰텍,012925,2005/12,27465
(주)경성정기,052657,2007/12,509037
(주)경성정기,052657,2008/12,666718
(주)경성정기,052657,2009/12,647413
(주)경성정기,052657,2010/12,752197
(주)경성정기,052657,2011/12,649729
(주)경성정기,052657,2012/12,592923
(주)경성정기,052657,2013/12,549934
(주)경성정기,052657,2014/12,625712
(주)경성정기,052657,2015/12,638442
(주)경성정기,052657,2016/12,598223
(주)경성정기,052657,2017/12,597161
(주)경안전선,021831,2001/12,1149895
(주)경안전선,021831,2002/12,682847
(주)경안전선,021831,2003/12,797371
(주)경안전선,021831,2004/12,751170
(주)경안전선,021831,2005/12,756449
(주)경안전선,021831,2006/12,1124699
(주)경안전선,021831,2007/12,1659958
(주)경안전선,021831,2008/12,3139044
(주)경안전선,021831,2009/12,3486716
(주)경안전선,021831,2010/12,4064881
(주)경안전선,021831,2011/12,4892567
(주)경안전선,021831,2012/12,4940825
(주)경안전선,021831,2013/12,5169104
(주)경원전자,059139,2009/12,71670
(주)경원전자,059139,2010/12,146711
(주)경원전자,059139,2011/12,138378
(주)경인엔지니어링,052213,2007/12,301645
(주)경인엔지니어링,052213,2008/12,426245
(주)경인엔지니어링,052213,2009/12,517488
(주)경인엔지니어링,052213,2010/12,623148
(주)경인엔지니어링,052213,2011/12,688144
(주)경인전자,050380,2007/12,313968
(주)경인전자,050380,2008/12,407889
(주)경인전자,050380,2009/12,426844
(주)경인전자,050380,2010/12,594110
(주)경인텍,076501,2015/12,147612
(주)경인텍,076501,2016/12,177111
(주)경인텍,076501,2017/12,162545
(주)경일옵틱스,070866,2013/12,80943
(주)경일옵틱스,070866,2014/12,10088
(주)경일옵틱스,070866,2015/12,177091
