회사명,거래소코드,회계년도,[제조]   이자비용
(주)LF개발,052323,2007/12,570361
(주)LF개발,052323,2008/12,1909875
(주)SID엔터프라이즈,039294,2002/12,1169632
(주)SID엔터프라이즈,039294,2003/12,2344176
(주)SID엔터프라이즈,039294,2004/12,1217093
(주)SID엔터프라이즈,039294,2005/12,451167
(주)SID엔터프라이즈,039294,2006/12,101947
(주)SID엔터프라이즈,039294,2007/12,0
(주)SID엔터프라이즈,039294,2008/12,0
(주)TS건설,020606,2001/12,1389752
(주)가경디앤씨,053950,2007/12,1999204
(주)가경디앤씨,053950,2008/12,3952812
(주)가경디앤씨,053950,2009/12,3867997
(주)가경디앤씨,053950,2010/12,4180915
(주)가경디앤씨,053950,2011/12,4293228
(주)가경디앤씨,053950,2012/12,2297312
(주)가경디앤씨,053950,2013/12,1027000
(주)가경디앤씨,053950,2014/12,0
(주)가경디앤씨,053950,2015/12,0
(주)가경디앤씨,053950,2016/12,1152649
(주)가경디앤씨,053950,2017/12,0
(주)가경종합건설,067227,2012/12,229
(주)가경종합건설,067227,2013/12,6252
(주)가담종합건설,076423,2015/12,1256
(주)가담종합건설,076423,2016/12,14134
(주)가담종합건설,076423,2017/12,474817
(주)가람우즈,049021,2007/12,3158662
(주)가람우즈,049021,2008/12,3597860
(주)가람우즈,049021,2009/12,2775440
(주)가람우즈,049021,2010/12,3278500
(주)가람우즈,049021,2011/12,4367378
(주)가람우즈,049021,2012/12,5005962
(주)가람우즈,049021,2013/12,5532890
(주)가람우즈,049021,2014/12,5381935
(주)가람우즈,049021,2015/12,5365649
(주)가람우즈,049021,2016/12,5449672
(주)가람우즈,049021,2017/12,86
(주)가야종합건설,012822,2001/12,363932
(주)가야종합건설,012822,2002/12,386035
(주)가야종합건설,012822,2003/12,406566
(주)가야종합건설,012822,2004/12,457003
(주)가야종합건설,012822,2005/12,513322
(주)가야종합건설,012822,2006/12,688156
(주)가야종합건설,012822,2007/12,859085
(주)가화건설,082774,2016/12,94151
(주)가화건설,082774,2017/12,70124
(주)감계개발,049616,2007/12,6251205
(주)감계개발,049616,2008/12,6067179
(주)감계개발,049616,2009/12,3773021
(주)감계개발,049616,2010/12,4312740
(주)개성건설,066019,2012/12,167210
(주)개성건설,066019,2013/12,167153
(주)개성건설,066019,2014/12,125420
(주)개성건설,066019,2015/12,205447
(주)개성건설,066019,2016/12,283857
(주)개성건설,066019,2017/12,448362
(주)거성산업건설,052698,2007/12,366168
(주)거성산업건설,052698,2008/12,769321
(주)거성산업건설,052698,2009/12,813565
(주)거성산업건설,052698,2010/12,688415
(주)거성토건,066541,2012/12,9616
(주)거성토건,066541,2013/12,7043
(주)거성토건,066541,2014/12,8108
(주)거성토건,066541,2015/12,7061
(주)거성토건,066541,2016/12,6555
(주)거성토건,066541,2017/12,2
(주)거해산업개발,061551,2010/12,80205
(주)거해산업개발,061551,2011/12,183306
(주)건강건설,057110,2008/12,29170
(주)건강건설,057110,2009/12,10356
(주)건강건설,057110,2010/12,136375
(주)건강건설,057110,2011/12,87165
(주)건강건설,057110,2012/12,888075
(주)건강건설,057110,2013/12,733402
(주)건강건설,057110,2014/12,730298
(주)건강건설,057110,2015/12,1064648
(주)건강건설,057110,2016/12,809551
(주)건강건설,057110,2017/12,570895
(주)건동주택,030749,2002/12,0
(주)건동주택,030749,2003/12,159355
(주)건동주택,030749,2004/12,116805
(주)건동주택,030749,2005/12,731258
(주)건동주택,030749,2006/12,840194
(주)건동주택,030749,2007/12,2650022
(주)건동주택,030749,2008/12,723691
(주)건동주택,030749,2009/12,0
(주)건동주택,030749,2010/12,113753
(주)건동주택,030749,2011/12,98630
(주)건동주택,030749,2012/12,0
(주)건동주택,030749,2013/12,0
(주)건동주택,030749,2014/12,0
(주)건동주택,030749,2015/12,0
(주)건동주택,030749,2016/12,0
(주)건동주택,030749,2017/12,0
(주)건림원,052198,2007/12,17
(주)건림원,052198,2008/12,1258
(주)건림원,052198,2011/12,0
(주)건설엔지니어피케이투,048076,2007/12,1041433
(주)건설엔지니어피케이투,048076,2008/12,451145
(주)건설웨슨,040111,2002/12,26273
(주)건설웨슨,040111,2003/12,4525
(주)건양,012879,2001/12,350693
(주)건양,012879,2002/12,331246
(주)건양,012879,2003/12,291778
(주)건양,012879,2004/12,249617
(주)건양,012879,2005/12,301039
(주)건양,012879,2006/12,254358
(주)건양,012879,2007/12,275179
(주)건양,012879,2008/12,312039
(주)건양,012879,2009/12,334753
(주)건영,038822,2002/12,45738541
(주)건영,038822,2003/12,29555396
(주)건영,038822,2004/12,28681365
(주)건영,038822,2005/12,28444631
