회사명,거래소코드,회계년도,[제조]   이자비용
(주)가빈,052981,2007/12,194653
(주)가빈,052981,2008/12,371734
(주)가빈,052981,2009/12,307378
(주)가빈,052981,2010/12,408790
(주)가빈,052981,2011/12,437150
(주)가빈,052981,2012/12,295672
(주)가빈,052981,2013/12,328526
(주)가빈,052981,2014/12,451270
(주)가빈,052981,2015/12,450426
(주)가빈,052981,2016/12,408105
(주)가빈,052981,2017/12,469783
(주)가우리안,060884,2010/12,130444
(주)가우리안,060884,2011/12,230917
(주)가우리안,060884,2012/12,655537
(주)가우리안,060884,2013/12,429486
(주)가우리안,060884,2014/12,944804
(주)가우리안,060884,2017/12,464217
(주)가원아이,042796,2004/12,24880
(주)가원아이,042796,2005/12,20260
(주)가화개발,073908,2014/12,121521
(주)가화개발,073908,2015/12,117878
(주)강구토건,086108,2017/12,70396
(주)거송건설,048972,2007/12,212370
(주)거송건설,074726,2014/12,218938
(주)거송건설,074726,2015/12,198353
(주)건우이앤씨,072913,2014/12,4746
(주)건우이앤씨,072913,2015/12,39162
(주)겨레석재산업,064527,2011/12,325715
(주)겨레석재산업,064527,2012/12,424563
(주)겨레석재산업,064527,2013/12,335315
(주)겨레석재산업,064527,2014/12,284674
(주)경동씨앤엘,045534,2006/12,0
(주)경동씨앤엘,045534,2007/12,0
(주)경동씨앤엘,045534,2008/12,0
(주)경동씨앤엘,045534,2009/12,0
(주)경동씨앤엘,045534,2010/12,0
(주)경우이앤씨,049987,2007/12,263625
(주)경우이앤씨,049987,2008/12,220042
(주)경우이앤씨,049987,2009/12,335256
(주)경우이앤씨,049987,2010/12,481383
(주)경우이앤씨,049987,2011/12,587536
(주)경우이앤씨,049987,2012/12,542644
(주)경우이앤씨,049987,2013/12,518437
(주)경우이앤씨,049987,2014/12,554655
(주)경우이앤씨,049987,2015/12,412900
(주)경우이앤씨,049987,2016/12,280096
(주)경우이앤씨,049987,2017/12,213863
(주)경흥건설,082159,2016/12,90591
(주)경흥건설,082159,2017/12,69545
(주)계룡건기,059810,2009/12,220325
(주)계룡건기,059810,2010/12,250747
(주)계룡건기,059810,2011/12,221689
(주)계선,012995,2001/12,460930
(주)계선,012995,2002/12,451026
(주)계선,012995,2003/12,417969
(주)계선,012995,2004/12,425547
(주)계선,012995,2005/12,437401
(주)계선,012995,2006/12,485095
(주)계선,012995,2007/12,678078
(주)계선,012995,2008/12,643306
(주)계선,012995,2009/12,358011
(주)계선,012995,2010/12,505588
(주)계선,012995,2011/12,229840
(주)계선,012995,2012/12,61773
(주)계선,012995,2013/12,51161
(주)계선,012995,2014/12,1276
(주)계선,012995,2015/12,142
(주)계선,012995,2016/12,228050
(주)계선,012995,2017/12,276473
(주)고려로지텍,061783,2010/12,58639
(주)고려로지텍,061783,2011/12,388467
(주)고려로지텍,061783,2012/12,292732
(주)고려로지텍,061783,2013/12,211942
(주)고려로지텍,061783,2014/12,185555
(주)고려로지텍,061783,2015/12,139800
(주)고려로지텍,061783,2016/12,131009
(주)고려로지텍,061783,2017/12,136139
(주)관우공영,077903,2015/12,120863
(주)관우공영,077903,2016/12,171886
(주)광남토건,066279,2012/12,28847
(주)광남토건,066279,2013/12,9150
(주)광영이엔엠,075696,2016/12,39611
(주)광우티앤씨,045619,2006/12,309743
(주)광우티앤씨,045619,2007/12,294938
(주)광우티앤씨,045619,2008/12,296146
(주)광우티앤씨,045619,2009/12,290874
(주)광우티앤씨,045619,2010/12,323784
(주)광우티앤씨,045619,2011/12,343034
(주)광장비티엘교육,056710,2008/12,0
(주)광장비티엘교육,056710,2009/12,2033312
(주)광장비티엘교육,056710,2010/12,4851469
(주)광장비티엘교육,056710,2011/12,4825291
(주)광장비티엘교육,056710,2012/12,4705764
(주)광장비티엘교육,056710,2013/12,4549160
(주)광장비티엘교육,056710,2014/12,4014702
(주)광장비티엘교육,056710,2015/12,3067522
(주)광장비티엘교육,056710,2016/12,2927644
(주)광장비티엘교육,056710,2017/12,2765705
(주)광장오토모티브,065674,2012/12,263602
(주)광장오토모티브,065674,2013/12,245543
(주)광장이엠씨,021995,2007/12,0
(주)광장이엠씨,021995,2008/12,120081
(주)광장이엠씨,021995,2009/12,182510
(주)광장이엠씨,021995,2010/12,118447
(주)광장이엠씨,021995,2011/12,131401
(주)광장이엠씨,021995,2012/12,124563
(주)광장이엠씨,021995,2013/12,89953
(주)광장이엠씨,021995,2014/12,102554
(주)광장이엠씨,021995,2015/12,89314
(주)광장이엠씨,021995,2016/12,86869
(주)광장이엠씨,021995,2017/12,117534
(주)광진건업,013099,2005/12,24678
(주)광진건업,013099,2006/12,35525
(주)광진건업,013099,2007/12,40482
(주)광진건업,013099,2008/12,126959
(주)광진건업,013099,2009/12,164635
(주)광진건업,013099,2010/12,286272
(주)광진건업,013099,2011/12,301912
(주)광진건업,013099,2012/12,340100
(주)광진건업,013099,2013/12,133861
(주)광진철구산업,070260,2013/12,323536
(주)광진철구산업,070260,2014/12,155398
(주)광진철구산업,070260,2015/12,20914
(주)광진철구산업,070260,2016/12,505269
(주)광진철구산업,070260,2017/12,933790
(주)국제건설산업,046391,2006/12,21071
(주)국제광엔지니어링,078395,2015/12,8080
(주)국제광엔지니어링,078395,2016/12,8012
(주)국제조형산업,040143,2002/12,87375
(주)국제조형산업,040143,2003/12,303847
(주)국제조형산업,040143,2004/12,553627
(주)국제플랜트,042001,2004/12,426703
(주)국제플랜트,042001,2005/12,512213
(주)국제플랜트,042001,2006/12,326921
(주)국제플랜트,042001,2007/12,238078
(주)국제플랜트,042001,2008/12,384869
(주)국제플랜트,042001,2009/12,337014
(주)국제플랜트,042001,2010/12,44706
(주)국제플랜트,042001,2011/12,142817
(주)국제플랜트,042001,2012/12,356121
(주)국제플랜트,042001,2013/12,234630
(주)국제플랜트,042001,2014/12,243279
(주)국제플랜트,042001,2015/12,295968
(주)국제플랜트,042001,2016/12,157657
(주)국제플랜트,042001,2017/12,258646
(주)극동자동화,073655,2014/12,116307
(주)극동자동화,073655,2015/12,110227
(주)극동자동화,073655,2016/12,79772
(주)극동자동화,073655,2017/12,234069
(주)글로벌공영,066227,2012/12,78070
(주)글로벌공영,066227,2013/12,205711
(주)글로벌공영,066227,2014/12,479806
(주)글로벌유명,070107,2013/12,17076
(주)글로벌유명,070107,2014/12,21612
(주)글로벌유명,070107,2015/12,586
(주)글로벌유명,070107,2016/12,37493
(주)글로벌유명,070107,2017/12,31867
(주)글로젠,080248,2016/12,185101
(주)글로젠,080248,2017/12,278932
(주)금강서비스,078744,2015/12,220813
(주)금강서비스,078744,2016/12,228669
(주)금강서비스,078744,2017/12,176615
