회사명,거래소코드,회계년도,자산(*)(천원),부채(*)(천원),자본(*)(천원),유동자산(*)(천원),유동부채(*)(천원),당좌자산(*)(천원),단기차입금(*)(천원),장기차입금(*)(천원),사채(*)(천원),매출액(영업수익)(*)(천원),당기순이익(순손실)(천원),감가상각비(천원),기타대손상각비(천원),이자비용(천원),이자수익(천원),유동성장기부채(*)(천원),영업활동으로 인한 현금흐름(*)(천원),당기순이익(순손실)(천원),영업이익(손실)(천원),매출원가(*)(천원),투자자산(*)(천원),유형자산(*)(천원),무형자산(*)(천원),이연자산(*)(천원),매출채권(*)(천원),재고자산(*)(천원),법인세비용차감전(계속사업)손익(천원),세금과공과(천원),퇴직급여(천원),임차료(천원),영업외수익(*)(천원),영업외비용(*)(천원)
(유)프라이그파이스트,046117,2006/12,7360583,6489584,870998,5119914,4607820,2876586,600000,174250,0,12191472,-141035,22382,0,0,3604,263000,-364303,-141035,-40412,11616293,0,1167426,1027502,0,2149922,2243329,-141035,0,12219,8346,420363,520986
(유)프라이그파이스트,046117,2007/12,8737863,7726280,1011583,6573123,5900802,3140356,801000,127000,0,12102061,226435,21052,0,0,3319,47250,1381345,226435,-131247,10604585,22000,1191476,905524,0,1831500,3432767,226435,0,100900,10929,1238480,880798
(주)21세기조선,040736,2004/12,47409575,38501462,8908114,26588350,24645797,24409011,830000,7555467,6175200,39459105,2708386,52085,0,0,194051,5189459,5224749,2708386,1114038,36170401,521298,18118925,774279,0,6971279,2179339,2018755,154774,116142,82400,3575137,2670420
(주)21세기조선,040736,2005/12,103912038,85128129,18783909,70050120,65432237,63137432,4848958,10277588,8052000,122021112,8075796,236859,0,0,376581,6922843,27275981,8075796,7902891,109816763,1528540,29985649,734996,0,15560671,6912688,9932441,289290,139820,126523,5812887,3783337
(주)21세기조선,040736,2006/12,156143011,133574520,22568491,105964652,112780133,98867458,27140987,10757156,7718400,217583698,3247154,390405,0,0,1445952,15502962,-10354613,3247154,4995872,207409718,5129025,42605953,575948,0,48603092,7097194,3927948,508040,187146,199446,6932486,8000411
(주)21세기조선,040736,2007/12,222329398,198348371,23981026,161567754,175335678,139421943,85786400,11363871,4251680,315606166,8235223,668343,0,0,2326491,6649683,-32772596,8235223,6220203,300813428,10767537,46184027,416901,0,82099216,22145811,9119841,649556,174786,222786,12350783,9451145
(주)21세기조선,040736,2008/12,324294542,290954613,33339929,249476901,268011019,221671165,111880546,21512157,0,519870945,-612392,1000100,459600,0,2306560,21648339,-14157555,-612392,115225929,387740773,4983746,64501949,257853,0,142731124,27805737,2347724,1014564,572426,395794,14084805,126963010
(주)21세기조선,040736,2009/12,272974524,517733970,-244759446,202997540,412210838,191903337,206413179,97141999,0,269772461,-235215959,820010,6123510,0,883297,19682683,-174067287,-235215959,-59267303,310599724,1096740,66599344,98805,0,80132300,11094203,-233030719,766801,259082,393912,15928738,189692153
(주)21세기조선,040736,2010/12,148898387,566440099,-417541713,71290882,206572201,65315411,24931164,335808892,0,110835535,-137274500,141932,0,0,384775,40299481,-58090448,-137274500,-64702144,164553764,2000,73656959,8021,0,5515782,5975471,-137830056,987881,277969,1527656,68432992,141560904
(주)21세기조선,040736,2011/12,102864612,683265154,-580400542,36038188,658517599,34803558,16396559,8896800,0,93566420,-162858829,119074,47159,0,154256,588086910,-42583038,-162858829,-86138597,173298836,2000,65653547,0,0,24402041,1234629,-162858829,961243,218511,1057138,44434047,121154279
(주)21세기조선,040736,2012/12,47535512,675395796,-627860284,18701975,657059375,18701975,25982634,3000000,0,44008632,-47459742,848884,0,0,55072,606080440,-8610438,-47459742,654882,29023973,2000,26093798,0,0,484597,0,-47459742,909232,599829,118311,9130807,57245432
(주)DCFTREK,017676,2001/12,34779363,29142580,5636783,12327345,21533589,2882328,5580000,5274151,0,36128501,33766,53293,0,0,29951,2189004,4425370,33766,2064898,33206973,4474061,17523668,0,0,1241083,9445017,346496,19006,30444,0,735069,2453471
(주)DCFTREK,017676,2002/12,22840235,18746765,4093469,10128625,15348450,3968457,0,3072148,0,37538983,20968,42891,0,0,54233,956970,2152288,20968,1258648,35338742,4258841,8077769,0,0,2403209,6160168,159399,15059,29488,0,975693,2074942
(주)DCFTREK,017676,2003/12,31850152,26171116,5679036,14973361,23012754,4616493,6990141,2689168,0,36764152,292042,21544,0,0,36698,1147409,-1647570,292042,1862760,34168885,4655118,12154161,0,0,3021590,10356868,481638,36850,24603,0,646221,2027343
(주)DCFTREK,017676,2004/12,33687897,27139540,6548356,18600335,24995039,9920675,6838738,1791289,0,51329492,899299,62640,0,0,36110,873139,770424,899299,1693977,48175689,4914886,10089836,0,0,5840942,8679660,920470,59439,45643,0,1121041,1894548
(주)DCFTREK,017676,2005/12,29505623,20418929,9086695,14834960,19454686,7868006,6016789,794700,0,54505486,1726595,37936,0,0,32689,851065,1678983,1726595,1139846,52144244,6363532,8142532,0,0,6467814,6966954,1736005,47680,37135,0,2168007,1571847
(주)DCFTREK,017676,2006/12,25411306,15095287,10316018,11067749,13766387,6545933,4057283,1328900,0,54721916,1776580,42898,0,0,46216,771000,2275899,1776580,1757395,51700800,7403500,6753439,0,0,5670787,4521816,1841592,22962,25059,0,1213717,1129520
(주)DCFTREK,017676,2007/12,25579620,11151721,14427899,9280111,10769652,4945097,3433919,250000,0,55134637,3094115,49117,0,0,36540,876314,2032831,3094115,2753259,50583141,9776023,6345567,0,0,4565438,4335014,3590944,58677,36978,0,1775980,938295
(주)DCFTREK,017676,2008/12,38354277,22752067,15602210,16386674,18601378,10707716,13233768,0,4000000,54292909,916405,57696,0,0,49080,340009,-5841000,916405,1101998,51299316,11080763,10708919,0,0,9188687,5678958,959899,24374,63211,0,2165799,2307898
(주)DCFTREK,017676,2009/12,38844738,21509426,17335311,11485309,17465028,7847601,11500000,0,4000000,47205046,2413698,42497,0,0,45439,7673,7481722,2413698,1521881,44041287,12713454,14465521,0,0,6673579,3637708,2425389,17403,54906,0,2265270,1361762
(주)DCFTREK,017676,2010/12,50965665,22917545,28048121,14769351,22917545,10574187,9213103,0,0,70491414,9223386,77622,0,0,40046,4000000,6701973,9223386,7976419,60444679,18862227,17166633,0,0,9841131,4195164,10351850,23866,84723,800,3673095,1297664
(주)DCFTREK,017676,2011/12,58085861,21152118,36933744,11466322,16339618,6322019,6717049,4812500,0,91065932,10211565,75074,0,0,50638,187500,12080935,10211565,9654369,79084963,23642379,22600367,0,0,5464945,5144303,12197998,33779,118050,6811,3930440,1386811
