회사명,거래소코드,회계년도,자산(*)(천원),부채(*)(천원),자본(*)(천원),유동자산(*)(천원),유동부채(*)(천원),당좌자산(*)(천원),단기차입금(*)(천원),장기차입금(*)(천원),사채(*)(천원),매출액(영업수익)(*)(천원),당기순이익(순손실)(천원),감가상각비(천원),기타대손상각비(천원),이자비용(천원),이자수익(천원),유동성장기부채(*)(천원),영업활동으로 인한 현금흐름(*)(천원),당기순이익(순손실)(천원),영업이익(손실)(천원),매출원가(*)(천원),투자자산(*)(천원),유형자산(*)(천원),무형자산(*)(천원),이연자산(*)(천원),매출채권(*)(천원),재고자산(*)(천원),법인세비용차감전(계속사업)손익(천원),세금과공과(천원),퇴직급여(천원),임차료(천원),영업외수익(*)(천원),영업외비용(*)(천원)
(주)KH엘텍,043023,2005/12,10984105,4489392,6494712,3744981,1923662,3641796,411916,2408803,0,7470952,657544,180007,0,0,32916,962553,1812176,657544,230666,6476957,62330,6683767,0,0,1371963,103185,723621,5911,23797,0,644305,151350
(주)KH엘텍,043023,2006/12,15321769,9743386,5578383,2268175,2744144,2211963,1111916,6687998,0,7610898,-416329,136756,0,0,32618,968903,1992792,-416329,-620062,7334465,793802,11759674,0,0,1054264,56211,-416329,1333,38218,0,673844,470112
(주)KH엘텍,043023,2007/12,15421587,13301299,2120289,3016140,6845171,2971756,3798624,5916260,0,9566746,-3458094,120261,0,0,38020,751790,-323491,-3458094,-3127344,11422521,553217,11163667,86667,0,2013326,44383,-3458094,5594,84501,1080,265924,596674
(주)KH엘텍,043023,2008/12,13640849,13280748,360101,912908,8257893,587600,4502922,4698580,0,8404467,-3884285,1006505,0,0,10038,951809,-1455755,-3884285,-3760007,10157749,597181,11999224,66667,0,545316,325308,-3884285,11553,83347,0,606660,730939
(주)KH엘텍,043023,2009/12,8386022,12229743,-3843721,1759279,9099194,1441990,3423759,2769180,0,8734156,-2912747,74006,0,0,8492,740630,-2144551,-2912747,-3729112,11256492,66198,6507455,0,0,1444916,317290,-2912747,2440,100567,0,2091785,1275421
(주)KH엘텍,043023,2010/12,7222851,13788625,-6565775,912974,1107025,726673,0,0,0,7155121,-2722053,32561,0,0,672,0,-1178246,-2722053,-2441367,8362455,0,6228590,3217,0,544500,186301,-2722053,11123,41123,7170,242173,522859
(주)KH엘텍,043023,2011/12,10016874,3563850,6453025,1517034,2912810,1408082,1657011,500000,0,1420443,3341840,27288,0,0,2408,0,-2347444,3341840,-1998849,2529450,0,6965318,18000,0,1104904,108952,4326140,9139,40807,2600,6494059,169069
(주)KH엘텍,043023,2012/12,11950025,9796625,2153401,2268855,7509292,1445775,3700000,1796648,0,7061551,-4238991,27336,0,0,912,125000,-2315507,-4238991,-2820064,8857689,0,9632997,28173,0,1095370,823081,-2747559,7158,36783,24013,425029,352524
(주)KH엘텍,043023,2013/12,16914360,10277950,6636410,5728961,7852684,4335471,3400000,1920784,0,26524746,4478312,29022,0,0,0,401567,4081781,4478312,4333360,20854844,0,11148240,37159,0,2372670,1393490,4478312,6392,54408,26669,476581,331629
(주)KH엘텍,043023,2014/12,14189503,10009980,4179523,3045229,8954985,1748762,4670000,300000,0,16911865,-2614596,34943,0,0,0,1720000,-1189266,-2614596,-2482896,18132513,0,11097560,46714,0,1334827,1296467,-2614596,7390,66845,3690,265075,396775
