회사명,거래소코드,회계년도,자산(*)(천원),부채(*)(천원),자본(*)(천원),유동자산(*)(천원),유동부채(*)(천원),당좌자산(*)(천원),단기차입금(*)(천원),장기차입금(*)(천원),사채(*)(천원),매출액(영업수익)(*)(천원),당기순이익(순손실)(천원),감가상각비(천원),기타대손상각비(천원),이자비용(천원),이자수익(천원),유동성장기부채(*)(천원),영업활동으로 인한 현금흐름(*)(천원),당기순이익(순손실)(천원),영업이익(손실)(천원),매출원가(*)(천원),투자자산(*)(천원),유형자산(*)(천원),무형자산(*)(천원),이연자산(*)(천원),매출채권(*)(천원),재고자산(*)(천원),법인세비용차감전(계속사업)손익(천원),세금과공과(천원),퇴직급여(천원),임차료(천원),영업외수익(*)(천원),영업외비용(*)(천원)
(주)가빈,052981,2007/12,9623909,7721635,1902274,7395458,4171635,5463304,1839705,3550000,0,24679827,108160,0,0,0,50660,0,-660129,108160,171061,21714567,298770,990545,895,0,2796109,1932154,135112,34861,36165,46070,357924,393873
(주)가빈,052981,2008/12,12695854,10777379,1918474,9255888,8777379,7106625,4018328,2000000,0,32662365,16201,510720,0,0,44048,0,2907166,16201,3645609,25026310,715204,777625,895,0,2604556,2149263,143514,46905,73016,38578,1280875,4782970
(주)가빈,052981,2009/12,12689470,13834883,-1145413,10911746,13834883,7051883,4518995,0,0,40352032,-3063888,407317,0,0,19133,2000000,-2970397,-3063888,290222,35663202,314232,525250,0,0,2949248,3859863,-3063888,41660,46878,28962,1375701,4729811
(주)가빈,052981,2010/12,12468895,12136389,332506,8586000,12136389,5295420,4692591,0,0,44661194,977919,262067,0,0,80483,1800000,209878,977919,1233019,38952089,2614282,330371,0,0,3342076,3290580,977919,57955,75366,3043,914185,1169285
(주)가빈,052981,2011/12,13332250,10789141,2543110,10812432,10789141,7623379,2594957,0,0,49797222,1410604,145941,0,0,86167,1800000,638718,1410604,1639837,43166332,1400532,174892,0,0,3919040,3189053,1449692,58376,77649,0,1261429,1451574
(주)가빈,052981,2012/12,15884697,11421727,4462969,13575873,11421727,9362567,5208889,0,0,63611556,1919859,224790,0,0,75058,0,-908035,1919859,3224365,54391867,600532,365629,0,0,4845184,4213306,2459795,67644,104963,0,673480,1438050
(주)가빈,052981,2013/12,20350051,14865721,5484330,15850589,14865721,12154342,9131474,0,0,67899478,1021361,190452,0,0,215825,0,770761,1021361,1783140,59188244,600532,456267,0,0,5980736,3696247,1326067,67055,132768,110419,964697,1421770
(주)가빈,052981,2014/12,22600039,16381729,6218310,17113408,16381729,12662778,11788809,0,0,64807657,733980,246199,0,0,226142,0,-1581335,733980,1376263,56089148,1612230,404214,0,0,7412404,4450630,1190613,87969,122563,293753,1149080,1334730
(주)가빈,052981,2015/12,26095575,17287341,8808234,18596126,17287341,10689075,12211937,0,0,57053623,2616103,187017,0,0,301014,0,920805,2616103,3256624,47203812,3201217,756631,0,0,5831449,7907051,3191301,84227,141095,274550,1336617,1401939
(주)가빈,052981,2016/12,26754594,16885114,9869480,19085044,16885114,11533475,12242665,0,0,62271206,1035068,333370,0,0,159215,0,1333680,1035068,1962133,53649949,1650363,2493327,0,0,6778834,7551569,1353549,90282,144849,312698,1295866,1904449
(주)가빈,052981,2017/12,28419828,18169596,10250232,21259894,17199596,12482821,11784645,970000,0,64488373,380751,598042,0,0,175490,0,30314,380751,1689035,55838251,1957863,1986300,0,0,7374758,8777074,545667,103801,164257,318228,638854,1782222
(주)가우리안,060884,2010/12,11528708,5364571,6164137,3489711,3258111,3489711,697857,1806460,0,10959529,445203,311529,0,0,21545,250000,684625,445203,754629,8487583,608381,6950810,349515,0,2797928,0,487613,8932,46926,14211,273982,540998
(주)가우리안,060884,2011/12,15175392,8560912,6614480,4798584,5899734,4798584,3348755,787390,1200000,12652956,64782,230120,0,0,36325,196264,1142888,64782,140572,10352939,445224,8679869,872243,0,3032852,0,64782,14074,62102,7800,272925,348716
(주)가우리안,060884,2012/12,21424608,17531948,3892660,5969501,13432927,5969501,6692875,1703240,1200000,16126376,-2722831,212735,0,0,17365,531271,1996245,-2722831,-2094821,15883648,674028,12867604,1214715,0,3794617,0,-2722831,12915,74735,7290,118823,746833
(주)가우리안,060884,2013/12,13229899,16671222,-3441323,1545738,12477708,1545738,4409208,1678000,1200000,7523800,-7332159,170221,0,0,13047,205133,1430648,-7332159,-3511024,8962188,100247,10293314,42318,0,1198888,0,-7332159,8107,81166,6264,189699,4010834
(주)가우리안,060884,2014/12,8613061,6474202,2138858,1150214,1416420,1150214,0,0,0,5173537,2603003,105072,0,0,276,0,932110,2603003,304156,3422653,136119,6432635,51911,0,692037,0,2603003,9448,37209,39344,4247080,1948233
