,회사명,거래소코드,회계년도,자산,부채,자본,유동자산,유동부채,당좌자산,단기차입금,장기차입금,사채,매출액,당기순이익,감가상각비,기타대손상각비,이자비용,이자수익,유동성장기부채,영업활동으로 인한 현금흐름,영업이익,매출원가,투자자산,유형자산,무형자산,이연자산,매출채권,재고자산,법인세비용차감전,세금과공과,퇴직급여,임차료,영업외수익,영업외비용,회계월
114749,(주)KAL호텔네트워크,29255,2013,508637772.0,199103891.0,309533882.0,93190501.0,91333849.0,91756953.0,0.0,105309392.0,0.0,85536126.0,5263632.0,6437157.0,0.0,0.0,1488355.0,75000000.0,59346174.0,8674766.0,0.0,1795125.0,411865053.0,624043.0,0.0,5963320.0,1433548.0,6697736.0,1357925.0,1595734.0,699140.0,1920876.0,3897906.0,Dec
114750,(주)KAL호텔네트워크,29255,2014,552351158.0,244728583.0,307622575.0,38918192.0,121205087.0,37388464.0,40000000.0,120000000.0,0.0,99574250.0,-805074.0,10601106.0,77.0,0.0,1236183.0,65000000.0,11592522.0,716115.0,0.0,1789480.0,507430148.0,1194769.0,0.0,6493911.0,1529728.0,-2441697.0,1341799.0,1369553.0,1042496.0,2342364.0,5500175.0,Dec
114751,(주)KAL호텔네트워크,29255,2015,537180504.0,244053212.0,293127291.0,42321859.0,74954606.0,40879313.0,0.0,165000000.0,0.0,101292034.0,-14526075.0,17026781.0,6.0,0.0,503579.0,60000000.0,11162028.0,-3877566.0,0.0,559480.0,491316036.0,971579.0,0.0,9796320.0,1442546.0,-13687699.0,1862372.0,1759889.0,1369215.0,960771.0,10770903.0,Dec
114752,(주)KAL호텔네트워크,29255,2016,515570942.0,233295361.0,282275581.0,42617747.0,230068194.0,41183671.0,0.0,0.0,0.0,105513433.0,-11657455.0,16548606.0,4.0,0.0,421374.0,215000000.0,18056119.0,-2648123.0,0.0,0.0,472026853.0,701558.0,0.0,6999294.0,1434075.0,-10028064.0,1959650.0,1950197.0,1315821.0,723218.0,8103158.0,Dec
231075,(주)LGEI,30602,2002,3693921000.0,368543000.0,3325378000.0,253775000.0,179525000.0,253775000.0,0.0,0.0,185583000.0,4697828000.0,315811000.0,0.0,3405000.0,0.0,19209000.0,0.0,294137000.0,361267000.0,3522558000.0,3197226000.0,48386000.0,415000.0,0.0,0.0,0.0,406024000.0,0.0,0.0,0.0,389841000.0,345084000.0,Dec
114761,(주)LG파워콤,21438,2001,1391431907.0,595539244.0,795892663.0,77483431.0,324017084.0,64410315.0,247202250.0,196083999.0,70000000.0,386395106.0,25866066.0,1909029.0,4190.0,0.0,311676.0,5022000.0,130395296.0,58312281.0,306232547.0,121098635.0,1129541213.0,14962447.0,0.0,49072370.0,13073116.0,21506558.0,628199.0,354716.0,588047.0,4972314.0,41778037.0,Dec
114762,(주)LG파워콤,21438,2002,1448341299.0,647722012.0,800619287.0,80927925.0,421030048.0,71524641.0,258272057.0,150138584.0,70000000.0,491897007.0,23392649.0,180651780.0,448253.0,0.0,182261.0,71093610.0,247602065.0,88200858.0,0.0,103416659.0,1170789613.0,13451784.0,0.0,104085994.0,9403284.0,12301172.0,5151165.0,2233043.0,57435251.0,6771514.0,82671199.0,Dec
114763,(주)LG파워콤,21438,2003,1408535911.0,580055939.0,828479972.0,177391975.0,366705989.0,169859431.0,145000000.0,47456870.0,160000000.0,526823885.0,30639632.0,199005936.0,0.0,0.0,3971697.0,110662831.0,294926903.0,131614443.0,0.0,12692322.0,1084612216.0,7001032.0,0.0,65360091.0,7532544.0,33940215.0,2290025.0,2660849.0,67092220.0,11891189.0,109565417.0,Dec
114764,(주)LG파워콤,21438,2004,1371562572.0,470965085.0,900597487.0,172074984.0,226216806.0,161428042.0,30000000.0,48323270.0,190000000.0,571229190.0,73728080.0,212913752.0,1109975.0,0.0,8677854.0,101173600.0,331872471.0,130027992.0,0.0,14606461.0,1054495344.0,6391739.0,0.0,56687347.0,10646942.0,87878108.0,3657042.0,4606888.0,91940749.0,19966805.0,62116689.0,Dec
114765,(주)LG파워콤,21438,2005,1567328833.0,622112032.0,945216800.0,351874346.0,258358298.0,351874346.0,20000000.0,59264100.0,300000000.0,638429765.0,46074560.0,234443236.0,60009.0,0.0,11039209.0,108673664.0,313888660.0,69134946.0,0.0,6888900.0,1086560940.0,8942992.0,0.0,99483972.0,0.0,41611472.0,3588929.0,3343428.0,124814911.0,26553894.0,54077368.0,Dec
114766,(주)LG파워콤,21438,2006,1483117180.0,597325215.0,885791965.0,163335584.0,328656272.0,163335584.0,51000000.0,59646040.0,200000000.0,855912539.0,-57944769.0,266425325.0,34836.0,0.0,6112882.0,119628069.0,230569637.0,-55332889.0,0.0,1471539.0,1148440803.0,26963337.0,0.0,121096791.0,0.0,-105309954.0,926442.0,7275531.0,149185134.0,16268361.0,66245426.0,Dec
114767,(주)LG파워콤,21438,2007,1663439088.0,752070357.0,911368731.0,228662596.0,492199057.0,225254122.0,200000000.0,47763480.0,200000000.0,1109617860.0,25521577.0,304021894.0,0.0,0.0,1756283.0,123978467.0,350208801.0,44770559.0,0.0,1060662.0,1249725234.0,26866344.0,0.0,124875860.0,3408474.0,7720037.0,8296911.0,5706718.0,159643986.0,12782221.0,49832743.0,Dec
114768,(주)LG파워콤,21438,2008,1937073801.0,944983020.0,992090781.0,376727260.0,644585963.0,373571806.0,370250000.0,34978060.0,250000000.0,1273768575.0,5991092.0,270981876.0,67937.0,0.0,6118856.0,73754420.0,349110564.0,88658398.0,0.0,5046393.0,1376692362.0,20405157.0,0.0,149215649.0,3155455.0,20796146.0,9959397.0,6408583.0,166414626.0,21036203.0,88898455.0,Dec
114769,(주)LG파워콤,21438,2009,2043230859.0,1137620991.0,905609868.0,296027356.0,693622240.0,290836211.0,290000000.0,29684640.0,400000000.0,1468312796.0,4718016.0,293162355.0,412199.0,0.0,9005369.0,166112999.0,372426332.0,92124972.0,0.0,4046450.0,1576737930.0,13739253.0,0.0,178093622.0,5191144.0,32816026.0,5690814.0,7438810.0,180412458.0,35629556.0,94938503.0,Dec
140390,(주)NHF5호공공임대개발전문위탁관리부동산투자회사,76921,2017,645382083.0,537245996.0,108136087.0,28729561.0,180132481.0,28729561.0,0.0,314136000.0,0.0,0.0,-2237092.0,0.0,0.0,0.0,864.0,179300000.0,2444677.0,-2405388.0,0.0,7413.0,616645109.0,0.0,0.0,0.0,0.0,-2237092.0,523023.0,0.0,0.0,168296.0,0.0,Dec
140393,(주)NHF6호공공임대개발전문위탁관리부동산투자회사,78193,2017,630064743.0,527954989.0,102109754.0,38700551.0,192743404.0,38700551.0,0.0,280025000.0,0.0,0.0,-2841888.0,264613.0,0.0,0.0,1828.0,191500000.0,16380933.0,-3056044.0,0.0,5766.0,591358426.0,0.0,0.0,0.0,0.0,-2841888.0,469617.0,0.0,0.0,214156.0,0.0,Dec
140396,(주)NHF7호공공임대위탁관리부동산투자회사,76922,2017,611865180.0,484024426.0,127840754.0,32331460.0,1597324.0,32331460.0,0.0,434554000.0,0.0,0.0,-3717555.0,0.0,0.0,0.0,1282.0,0.0,12032709.0,-3861860.0,0.0,6621.0,579527100.0,0.0,0.0,0.0,0.0,-3717555.0,698511.0,0.0,0.0,144305.0,0.0,Dec
140398,(주)NHF제1호공공임대개발전문위탁관리부동산투자회사,72369,2015,616518131.0,467659652.0,148858479.0,33625878.0,1384742.0,33625879.0,0.0,413981000.0,0.0,0.0,-3025179.0,0.0,0.0,0.0,22151.0,0.0,49256596.0,-3519155.0,0.0,0.0,582892253.0,0.0,0.0,0.0,0.0,-3025179.0,998171.0,0.0,0.0,493975.0,0.0,Dec
140399,(주)NHF제1호공공임대개발전문위탁관리부동산투자회사,72369,2016,888588841.0,742183540.0,146405301.0,17778970.0,62962540.0,17778970.0,0.0,679221000.0,0.0,0.0,-2453178.0,0.0,0.0,0.0,3118.0,0.0,7358218.0,-2718232.0,0.0,828249.0,869981622.0,0.0,0.0,0.0,0.0,-2453178.0,817521.0,0.0,0.0,265135.0,81.0,Dec
140400,(주)NHF제1호공공임대개발전문위탁관리부동산투자회사,72369,2017,1206287846.0,1064826249.0,141461596.0,165862923.0,1817341.0,165862923.0,0.0,557305000.0,0.0,21960014.0,-4943704.0,6283028.0,0.0,0.0,495910.0,0.0,436979900.0,7133539.0,5042490.0,829998.0,1039594925.0,0.0,0.0,0.0,0.0,-4943704.0,966816.0,0.0,0.0,904750.0,12981994.0,Dec
140404,(주)NHF제2호공공임대위탁관리부동산투자회사,72370,2017,551844747.0,487236414.0,64608332.0,82737155.0,776737.0,82737156.0,0.0,233095000.0,0.0,9825177.0,-335968.0,3470568.0,0.0,0.0,216281.0,0.0,229203119.0,2892632.0,1637808.0,158845.0,468948745.0,0.0,0.0,0.0,0.0,-335968.0,314122.0,0.0,0.0,485348.0,3713947.0,Dec
140407,(주)NHF제3호공공임대개발전문위탁관리부동산투자회사,72325,2016,703166960.0,560771176.0,142395784.0,20296264.0,3663843.0,20296264.0,0.0,506532000.0,0.0,0.0,-2754819.0,0.0,0.0,0.0,791.0,0.0,4104967.0,-3044162.0,0.0,15167.0,682855529.0,0.0,0.0,0.0,0.0,-2754819.0,587570.0,0.0,0.0,289343.0,0.0,Dec
140408,(주)NHF제3호공공임대개발전문위탁관리부동산투자회사,72325,2017,1119230109.0,982013432.0,137216677.0,147209744.0,271558811.0,141155599.0,0.0,491647000.0,0.0,6149643.0,-5179107.0,2397328.0,0.0,0.0,18864.0,263600000.0,172835242.0,-3401511.0,3461269.0,15182.0,972005183.0,0.0,0.0,0.0,6054145.0,-5179107.0,716332.0,0.0,0.0,616439.0,2394035.0,Dec
254584,(주)건영,38822,2002,500406297.0,374953660.0,125452637.0,414562710.0,140123500.0,185998245.0,9126457.0,0.0,0.0,163767589.0,-32294963.0,708283.0,0.0,0.0,6556459.0,15206309.0,167051999.0,4613776.0,141877213.0,8687458.0,67699671.0,28295.0,0.0,43554451.0,228564465.0,-32294963.0,1028042.0,650902.0,583638.0,25188327.0,62097065.0,Dec
254588,(주)건영,38822,2006,525096318.0,189134272.0,335962046.0,461452298.0,52736985.0,374141828.0,0.0,0.0,123000000.0,41849310.0,-68655325.0,470327.0,0.0,0.0,10472171.0,500000.0,-21629376.0,-24838026.0,34915815.0,19145643.0,28495560.0,34923.0,0.0,37505878.0,87310471.0,-68655325.0,4075590.0,570516.0,581231.0,45224135.0,89041433.0,Dec
254590,(주)건영,38822,2008,571654859.0,226228435.0,345426424.0,480349822.0,170036532.0,396346326.0,86217057.0,2955230.0,0.0,209313745.0,6995432.0,892418.0,9816492.0,0.0,10065159.0,0.0,-37337671.0,3034020.0,176004986.0,51650611.0,26855470.0,2666258.0,0.0,126888522.0,84003496.0,9314684.0,2126521.0,1274974.0,1411902.0,18402128.0,12121464.0,Dec
254591,(주)건영,38822,2009,748779807.0,400727117.0,348052689.0,639710240.0,352795098.0,499829535.0,213119000.0,23706230.0,0.0,279252665.0,3261384.0,725389.0,5896008.0,0.0,16766462.0,26065000.0,-107063954.0,1812683.0,248153857.0,62605854.0,25964330.0,3106905.0,0.0,185995553.0,139880705.0,4916706.0,1923986.0,1407089.0,1900338.0,26931562.0,23827539.0,Dec
254592,(주)건영,38822,2010,989894121.0,734818344.0,255075777.0,796545998.0,657488429.0,675940835.0,372553851.0,37315952.0,0.0,543845407.0,-92984537.0,705282.0,31993197.0,0.0,15290647.0,12462240.0,-26328347.0,-34562201.0,504788284.0,98522481.0,70290746.0,3787872.0,0.0,246308208.0,120605163.0,-96158967.0,2965562.0,1271186.0,2473251.0,22036168.0,83632934.0,Dec
254593,(주)건영,38822,2011,539261239.0,408255691.0,131005548.0,426033404.0,250343414.0,342491373.0,0.0,0.0,118654610.0,331776475.0,-219152306.0,498277.0,287649681.0,0.0,2864222.0,21692775.0,-112682680.0,-120859067.0,322853957.0,30343861.0,66932681.0,2594429.0,0.0,216800920.0,83542031.0,-219152306.0,1888637.0,1052420.0,2121853.0,250782994.0,349076233.0,Dec
179725,(주)건화,29502,2013,571845993.0,402164901.0,169681092.0,59864175.0,233595950.0,38341880.0,113344787.0,147776901.0,1800000.0,210794860.0,4219302.0,643402.0,-13253.0,0.0,315229.0,40493782.0,15065253.0,18400272.0,182774079.0,32194722.0,478714297.0,353740.0,0.0,27518414.0,21522295.0,5083389.0,168436.0,311967.0,169604.0,4590605.0,17907488.0,Dec
179726,(주)건화,29502,2014,659436755.0,499869564.0,159567191.0,86514217.0,306403759.0,36507687.0,123292943.0,178274876.0,0.0,276935184.0,-9179852.0,541775.0,-17518.0,0.0,236452.0,58625672.0,29053984.0,20221491.0,246999109.0,30825852.0,541278903.0,288524.0,0.0,25503720.0,50006530.0,-598902.0,173312.0,370201.0,179882.0,1929308.0,22749700.0,Dec
179727,(주)건화,29502,2015,733707462.0,511903119.0,221804343.0,69201434.0,333250178.0,28192662.0,187301803.0,142360823.0,1260000.0,298907118.0,-6397794.0,199344.0,241404.0,0.0,114413.0,38521638.0,29060134.0,11308164.0,278899881.0,29110405.0,634698647.0,161049.0,0.0,23001959.0,41008772.0,-6577784.0,119987.0,362946.0,146295.0,6044475.0,23930423.0,Dec
